Table 4 - Residential Mortgage Exposures by PD Range,September 30 2025,,,,,,
(Dollars in millions),Balance Sheet Amount,Undrawn Commitments,EAD,RWA,PD,LGD,Risk Weight
0.00 to < 0.15,158502,42869,167333,12677,0.07%,40.08%,7.58%
0.15 to < 0.50,54367,1009,54810,11768,0.26%,44.04%,21.47%
0.50 to < 5.50,10953,123,10989,7126,1.18%,47.78%,64.85%
5.50 to < 20.00,1898,1,1898,3718,12.73%,41.76%,195.89%
20.00 to < 100.00,357,0,357,791,52.20%,47.67%,221.57%
100.00 (default),1086,6,1095,1074,100.00%,n/a,98.08%
Total,227163,44008,236482,37154,0.81%,41.42%,15.71%
