Disclosure Map - Pillar 3 Requirement,Description,Pillar 3 Report Page Reference,3Q25 Form 10-Q Page Reference,2024 Form 10-K Page Reference
Scope of Application,Corporate Overview,4,,
Scope of Application,Principles of Consolidation and Basis of Presentation,4,52,94
Scope of Application,Basel 3 Regulatory Capital Standards and Disclosures,"4, 5",20,
Capital Structure,Capital Structure,6,"20, 80, 85, 86",134
Capital Adequacy,Capital Adequacy,7,104,"48, 143"
Capital Adequacy,Regulatory Capital Ratios,"8, 9",,
Capital Adequacy,Total Loss-Absorbing Capacity,10,20,8
Capital Adequacy,Bank Subsidiary Distributions,10,,143
Capital Adequacy,Risk-Weighted Assets,"10, 11",,
Risk Management Organizational Structure and Responsibilities,Risk Management Organizational Structure and Responsibilities,12,20,"8, 45"
Credit Risk,Credit Risk,13,"28, 40, 46, 64",8
Credit Risk,Credit Risk Exposures,13,"9, 28, 29, 34, 40, 54, 61, 64, 81, 82",94
Retail Credit Risk,Retail Credit Risk,14,64,
Retail Credit Risk,Retail Risk Rating System,14,,
Retail Credit Risk,Determining Retail Risk Parameters,14,"28, 64",
Retail Credit Risk,Retail Credit Exposures,15,,
Wholesale Credit Risk,Wholesale Credit Risk,16,28,
Wholesale Credit Risk,Wholesale Risk Rating System,16,,
Wholesale Credit Risk,Determining Wholesale Risk Parameters,16,"28, 64",
Wholesale Credit Risk,Wholesale Credit Exposures,17,,
Counterparty Credit Risk,Counterparty Credit Risk,18,54,
Counterparty Credit Risk,Valuation Adjustments,18,"20, 28, 54, 87",
Counterparty Credit Risk,Credit Limits,18,"20, 28",
Counterparty Credit Risk,Collateral Valuation,18,,94
Counterparty Credit Risk,Counterparty Credit Exposures,19,,
Counterparty Credit Risk,Wrong-Way Risk,19,"54, 87",
Credit Risk Mitigation,Credit Risk Mitigation,20,"28, 54, 75, 81",94
Securitization,Securitization,21,,
Securitization,Risk Management,21,,
Securitization,Due Diligence,22,"52, 75","94, 126"
Securitization,Securitization Exposures,"22, 23","52, 75","94, 126"
Market Risk,Market Risk Overview,24,,74
Market Risk,Trading Book,24,,
Market Risk,Trading Risk Management,24,42,75
Market Risk,Regulatory VaR,25,,
Market Risk,VaR Backtesting,25,,
Market Risk,Regulatory Stressed VaR,26,,
Market Risk,Incremental Risk Charge,26,,
Market Risk,Comprehensive Risk Measure,"26, 27",,
Market Risk,Trading Portfolio Stress Testing,27,,77
Equity Exposures in Banking Book,Equity Exposures in Banking Book,28,,
Equity Exposures in Banking Book,Accounting and Valuation,28,"52, 87",94
Equity Exposures in Banking Book,Equity Exposures,28,,
Operational Risk Overview,Operational Risk Overview,29,,
Operational Risk Overview,Advanced Measurement Approach,29,,75
Interest Rate Risk Management for the Banking Book,Interest Rate Risk Management for the Banking Book,30,44,78
Interest Rate Risk Management for the Banking Book,Risk Measurement,30,44,78
Supplementary Leverage Ratio,Supplementary Leverage Ratio,31,,
Model Risk Management,Model Risk Management,32,,
