Table 20 - Estimated Banking Book Net Interest Income Sensitivity to Curve Changes,,
Curve Change,Short Rate (bps),Long Rate (bps),September 30 2025 (Dollars in billions)
Parallel shifts,,,
+100 bps instantaneous shift,+100,+100,1.0
-100 bps instantaneous shift,-100,-100,-2.2
+200 bps instantaneous shift,+200,+200,1.4
-200 bps instantaneous shift,-200,-200,-5.3
Flatteners,,,
Short-end instantaneous change,+100,--,0.7
Long-end instantaneous change,--,-100,-0.3
Steepeners,,,
Short-end instantaneous change,-100,--,-1.8
Long-end instantaneous change,--,+100,0.3
