Table 13 - Market Risk - RWA,September 30 2025,
(Dollars in millions),Capital,RWA
Regulatory VaR 10-day holding period,584,7299
Regulatory SVaR 10-day holding period,1125,14061
Incremental risk charge,319,3992
Comprehensive risk measure,113,1416
Total internal models,2141,26768
Standard specific risk - Securitization,575,7193
Standard specific risk - Non-securitization,3055,38187
Other charges,338,4219
Total market risk,6109,76367
