Table 8b - Counterparty Credit Exposures by PD Range,September 30 2025,,,,
(Dollars in millions),EAD,RWA,PD,LGD,Risk Weight
0.00 to < 0.15,175651,33655,0.07%,41.82%,19.16%
0.15 to < 0.50,52271,25661,0.33%,43.30%,49.09%
0.50 to < 2.50,50451,39780,0.91%,44.24%,78.85%
2.50 to < 10.00,3387,5191,6.69%,46.00%,153.26%
10.00 to < 100.00,437,881,13.63%,43.80%,201.60%
100.00 (default),282,282,100.00%,n/a,100.00%
Eligible margin loans - 300%,28,85,n/a,n/a,300.00%
Total,282507,105535,0.47%,42.58%,37.36%
