Total Loss-Absorbing Capacity and Long-Term Debt,September 30 2025,,,
(Dollars in millions),TLAC,Regulatory Minimum,Long-term Debt,Regulatory Minimum
Total eligible balance,472886,,228745,
Percentage of risk-weighted assets,27.0%,22.0%,13.1%,9.0%
Percentage of total supplementary leverage exposure,11.9%,9.5%,5.8%,4.5%
