Table 21 - Supplementary Leverage Ratio,September 30 2025
(Dollars in millions),Amount
Tier 1 Capital,228829
Total consolidated assets,3403716
Adjustment for derivative transactions,190326
Adjustment for repo-style transactions,39584
Adjustment for off-balance sheet exposures,391292
Other adjustments,48288
Total Supplementary Leverage Exposure,3976630
SLR,5.8%
