Table 7 - Wholesale Exposures by PD Range,September 30 2025,,,,,,
(Dollars in millions),Balance Sheet Amount,Undrawn Commitments,EAD,RWA,PD,LGD,Risk Weight
0.00 to < 0.15,1384283,380001,1607075,164634,0.03%,23.65%,10.24%
0.15 to < 0.50,167908,116176,222327,104584,0.29%,38.46%,47.04%
0.50 to < 2.50,173680,79548,206979,164172,1.06%,37.26%,79.32%
2.50 to < 10.00,41536,21316,48965,58700,4.35%,37.21%,119.88%
10.00 to < 100.00,23232,12896,27324,43291,17.47%,34.59%,158.44%
100.00 (default),4460,968,4862,4765,100.00%,n/a,98.00%
Total,1795099,610905,2117532,540146,0.72%,27.01%,25.51%
