Table 2 - Regulatory Capital - Bank of America Corporation,September 30 2025,,,,
(Dollars in millions except ratios),Basel 3 Standardized,,Basel 3 Advanced,
Regulatory Capital,,,,
Common equity tier 1 capital,202875,,202875,
Tier 1 capital,228829,,228829,
Total capital,263433,,252730,
Assets,,,,
Risk-weighted assets,1750950,,1546142,
Adjusted quarterly average assets,3356512,,3356512,
Supplementary Leverage Exposure,,,3976630,
Capital Ratios,,,,
Common equity tier 1 capital,11.6%,,13.1%,
Tier 1 capital,13.1%,,14.8%,
Total capital,15.0%,,16.3%,
Tier 1 leverage,6.8%,,6.8%,
Supplementary Leverage Ratio,,,5.8%,
