Table 5 - Qualifying Revolving Exposures by PD Range,September 30 2025,,,,,,
(Dollars in millions),Balance Sheet Amount,Undrawn Commitments,EAD,RWA,PD,LGD,Risk Weight
0.00 to < 0.50,23419,364474,70726,7974,0.23%,95.72%,11.27%
0.50 to < 1.50,32967,41470,46522,15744,0.92%,95.72%,33.84%
1.50 to < 3.50,27090,5251,31742,22897,2.53%,95.72%,72.13%
3.50 to < 7.00,9994,1744,11288,13026,4.95%,95.85%,115.40%
7.00 to < 10.00,1971,563,2248,3525,8.01%,95.72%,156.81%
10.00 to < 100.00,6322,697,6930,14281,39.88%,95.72%,206.08%
100.00 (default),3,2,3,3,100.00%,n/a,100.00%
Total,101766,414201,169459,77450,2.89%,95.73%,45.70%
