Table 9 - Wholesale EAD and RWA reflecting the benefit of Eligible Guarantees / Credit Derivatives,September 30 2025,
(Dollars in millions),EAD,RWA
Corporate,42063,11319
Bank,181,75
Sovereign,488,95
IPRE,6578,4371
HVCRE,41,66
Total,49351,15926
