Table 8a - Total Counterparty Credit RWA,September 30 2025
(Dollars in millions),Basel 3 Advanced RWA
Repo-style transactions,21978
Margin Loans,13315
OTC derivatives,70242
Cleared transactions,11017
Unsettled transactions,801
Total,117353
