Table 6 - Other Retail Exposures by PD Range,September 30 2025,,,,,,
(Dollars in millions),Balance Sheet Amount,Undrawn Commitments,EAD,RWA,PD,LGD,Risk Weight
0.00 to < 0.50,72493,265345,125654,11259,0.08%,41.88%,8.96%
0.50 to < 1.50,14636,10479,20959,12563,0.95%,61.51%,59.94%
1.50 to < 3.50,4924,939,6056,5617,2.32%,70.02%,92.75%
3.50 to < 7.00,3739,315,4137,5091,4.87%,83.72%,123.06%
7.00 to < 10.00,906,97,997,1356,8.25%,85.58%,136.01%
10.00 to < 100.00,2313,132,2459,4057,33.31%,81.72%,164.99%
100.00 (default),246,36,246,246,100.00%,n/a,100.00%
Total,99257,277343,160508,40189,1.12%,47.49%,25.04%
