Table 2 - Regulatory Capital - Bank of America N.A.,September 30 2025,,,,
(Dollars in millions except ratios),Basel 3 Standardized,,Basel 3 Advanced,
Regulatory Capital,,,,
Common equity tier 1 capital,196596,,196596,
Tier 1 capital,196596,,196596,
Total capital,212398,,201942,
Assets,,,,
Risk-weighted assets,1508741,,1207259,
Adjusted quarterly average assets,2606271,,2606271,
Supplementary Leverage Exposure,,,3104024,
Capital Ratios,,,,
Common equity tier 1 capital,13.0%,,16.3%,
Tier 1 capital,13.0%,,16.3%,
Total capital,14.1%,,16.7%,
Tier 1 leverage,7.5%,,7.5%,
Supplementary Leverage Ratio,,,6.3%,
