Table 2 - Regulatory Capital - Bank of America California N.A.,September 30 2025,,,,
(Dollars in millions except ratios),Basel 3 Standardized,,Basel 3 Advanced,
Regulatory Capital,,,,
Common equity tier 1 capital,1862,,1862,
Tier 1 capital,1862,,1862,
Total capital,1875,,1867,
Assets,,,,
Risk-weighted assets,5256,,2877,
Adjusted quarterly average assets,15002,,15002,
Supplementary Leverage Exposure,,,15002,
Capital Ratios,,,,
Common equity tier 1 capital,35.4%,,64.7%,
Tier 1 capital,35.4%,,64.7%,
Total capital,35.7%,,64.9%,
Tier 1 leverage,12.4%,,12.4%,
Supplementary Leverage Ratio,,,12.4%,
