Asset Category,Sub-category,Unstressed Posted MDRM,Unstressed Received MDRM,Stressed Posted FR Severely Adverse MDRM,Stressed Received FR Severely Adverse MDRM
Central Debt,United States,CACNFC53,CACNFC83,CACNFD13,CACNFD43
Central Debt,Germany,CACNFC54,CACNFC84,CACNFD14,CACNFD44
Central Debt,United Kingdom & France,CACNFC55,CACNFC85,CACNFD15,CACNFD45
Central Debt,Other Eurozone,CACNFC56,CACNFC86,CACNFD16,CACNFD46
Central Debt,Japan,CACNFC57,CACNFC87,CACNFD17,CACNFD47
Central Debt,Other,CACNFC58,CACNFC88,CACNFD18,CACNFD48
Equity,United States (US),CACNFC59,CACNFC89,CACNFD19,CACNFD49
Equity,Canada (CAD),CACNFC60,CACNFC90,CACNFD20,CACNFD50
Equity,United Kingdom (UK),CACNFC61,CACNFC91,CACNFD21,CACNFD51
Equity,Eurozone,CACNFC62,CACNFC92,CACNFD22,CACNFD52
Equity,Other Economies,CACNFC63,CACNFC93,CACNFD23,CACNFD53
Corporate Bonds Advanced Economies,Investment Grade (IG),CACNFC64,CACNFC94,CACNFD24,CACNFD54
Corporate Bonds Advanced Economies,Sub-Investment Grade (Sub-IG),CACNFC65,CACNFC95,CACNFD25,CACNFD55
Corporate Bonds Other Economies,Investment Grade (IG),CACNFC66,CACNFC96,CACNFD26,CACNFD56
Corporate Bonds Other Economies,Sub-Investment Grade (Sub-IG),CACNFC67,CACNFC97,CACNFD27,CACNFD57
Exchange-Traded Funds,Equity,CACNFC68,CACNFC98,CACNFD28,CACNFD58
Exchange-Traded Funds,Fixed Income,CACNFC69,CACNFC99,CACNFD29,CACNFD59
US Agency MBS/CMBS,Pass-throughs,CACNFC70,CACNFD00,CACNFD30,CACNFD60
US Agency MBS/CMBS,Other,CACNFC71,CACNFD01,CACNFD31,CACNFD61
Non-Agency RMBS/ABS/CMBS,Investment Grade (IG),CACNFC72,CACNFD02,CACNFD32,CACNFD62
Non-Agency RMBS/ABS/CMBS,Sub-Investment Grade (Sub-IG),CACNFC73,CACNFD03,CACNFD33,CACNFD63
Cash,USD,CACNFC74,CACNFD04,CACNFD34,CACNFD64
Cash,EUR,CACNFC75,CACNFD05,CACNFD35,CACNFD65
Cash,GBP,CACNFC76,CACNFD06,CACNFD36,CACNFD66
Cash,JPY,CACNFC77,CACNFD07,CACNFD37,CACNFD67
Cash,Other,CACNFC78,CACNFD08,CACNFD38,CACNFD68
Other,Inflation-Indexed Securities,CACNFC79,CACNFD09,CACNFD39,CACNFD69
Other,Commercial Paper,CACNFC80,CACNFD10,CACNFD40,CACNFD70
Other,Municipal Bonds,CACNFC81,CACNFD11,CACNFD41,CACNFD71
Other,Other,CACNFC82,CACNFD12,CACNFD42,CACNFD72
