Field No,Field Name,Technical Field Name,MDRM,Description,Allowable Values,Mandatory/Optional
68,Committed Exposure Global Fair Value,,,"For held for sale loans and loans accounted for under a fair value option, report the fair value of the entire credit facility. If not held for sale or accounted for under a fair value option, report 'NA'.","Rounded whole dollar amount, e.g.: 20000000. No non-numeric formatting. Negative sign '-' not parentheses. 'NA' if not HFS/FVO.",Mandatory
69,Outstanding Balance Fair Value,,,"For held for sale loans and loans accounted for under a fair value option, report the fair value of the outstanding funded exposure. If not held for sale or accounted for under a fair value option, report 'NA'.","Rounded whole dollar amount, e.g.: 20000000. No non-numeric formatting. Negative sign '-' not parentheses. 'NA' if not HFS/FVO.",Mandatory
70,DO NOT USE,,,,,
71,DO NOT USE,,,,,
72,Obligor LEI,ObligorLEI,,"Report the Legal Entity Identifier (LEI) of the obligor identified in Field 2, if available. A LEI is a 20 character alphanumeric code that uniquely identifies legally distinct entities that engage in financial transactions. LEIs are issued by Local Operating Units (LOUs) of the Global LEI System. If LEI does not apply, enter 'NA'.","Must be a valid 20 character alphanumeric LEI issued by a LOU of the Global LEI System, or 'NA'.",Mandatory
