Field No.,Field Name,Technical Field Name,MDRM,Description,Allowable Values
52,Date of Financials,DateFinancials,CLCE9999,"Report the as of date of the financial information, related to the entity identified in Field 2 or Field 49, that is reported in the Obligor Financial Data Section.","Must be in yyyy-mm-dd format."
53,Date of Last Audit,DateLastAudit,CLCE4929,"Report the date of the last audited financial statements of the entity identified in Field 2 or Field 49. Date of last audit may or may not be the same date as the date of the financials (Field 52). If there is no audit date, enter 9999-12-31.","Must be in yyyy-mm-dd format."
54,Net Sales Current,NetSalesCurrent,CLCEM301,"Report the gross sales of the entity identified in Field 2 or Field 49 reduced by cash discounts, trade discounts, and returned sales and allowances for which credit is given to customers less returns and allowances, freight out, and cash discounts allowed for the designated period. Report data for the trailing twelve month (TTM) period ended on the date reported in Field 52.","Rounded whole dollar amount (e.g. 20000000). No dollar sign, commas, or decimal."
55,Net Sales Prior Year,NetSalesPriorYear,CLCEM302,"Report the gross sales of the entity identified in Field 2 or Field 49 reduced by cash discounts, trade discounts, and returned sales and allowances for which credit is given to customers less returns and allowances, freight out, and cash discounts allowed. Report data for the TTM period ended one year prior to the date reported in Field 52.","Rounded whole dollar amount (e.g. 20000000). No dollar sign, commas, or decimal."
56,Operating Income,OperatingIncome,,"Report the amount of profit (or loss) realized from continuing operations of the entity identified in Field 2 or Field 49; typically represented as sales less items such as cost of goods sold, operating expenses, amortization and depreciation. Report data for the TTM period ended on the date reported in Field 52.","Rounded whole dollar amount (e.g. 20000000). No dollar sign, commas, or decimal."
57,Depreciation & Amortization,DepreciationAmortization,,"Report the total depreciation and amortization costs of the entity identified in Field 2 or Field 49 of tangible and intangible assets allocated against revenue for the current period. Report data for the TTM period ended on the date reported in Field 52.","Rounded whole dollar amount (e.g. 20000000). No dollar sign, commas, or decimal."
58,Interest Expense,InterestExpense,CLCEM305,"Report the periodic expense to the entity identified in Field 2 or Field 49 of securing short and long-term debt. Report data for the TTM period ended on the date reported in Field 52.","Rounded whole dollar amount (e.g. 20000000). No dollar sign, commas, or decimal."
59,Net Income Current,NetIncomeCurrent,CLCEM306,"Report the income (or loss) reported by the entity identified in Field 2 or Field 49 after expenses and losses have been subtracted from all revenues and gains for the fiscal period including discontinued operations. Report data for the TTM period ended on the date reported in Field 52.","Rounded whole dollar amount (e.g. 20000000). No dollar sign, commas, or decimal."
60,Net Income Prior Year,NetIncomePriorYear,CLCEM307,"Report the income (or loss) reported by the entity identified in Field 2 or Field 49 after expenses and losses have been subtracted from all revenues and gains for the fiscal period including discontinued operations. Report data for the TTM period ended one year prior to the date reported in Field 52.","Rounded whole dollar amount (e.g. 20000000). No dollar sign, commas, or decimal."
61,Cash & Marketable Securities,CashMarketableSecurities,CLCEM308,"Report the cash, depository accounts and marketable securities of the entity identified in Field 2 or Field 49 that can be easily sold and readily converted into cash.","Rounded whole dollar amount (e.g. 20000000). No dollar sign, commas, or decimal."
