Field No.,Field Name,Technical Field Name,MDRM,Description,Allowable Values
28,Cumulative Charge-offs,CumulativeChargeoffs,CLCOG076,"Report the cumulative net charge-offs associated with the credit facility on the reporting entity's books. Cumulative net charge-offs are the amount reflected over the life of the credit facility. If cumulative charge-offs are greater than the current commitment balance but less than the original commitment, report the total cumulative charge-off amount. For disposed credit facilities, report cumulative charge-offs as of the date of disposition. For fronting exposures, report cumulative net charge-offs associated with impairment of the participant lender.","Rounded whole dollar amount (e.g. 20000000). No dollar sign, commas, or decimal. Should be 0 if no charge-off. Should be 'NA' for loans held for sale or accounted for under fair value option."
29,DO NOT USE,,,,
30,DO NOT USE,,,,
31,DO NOT USE,,,,
32,# Days Principal or Interest Past Due,PastDue,CLCOG077,"Report the longest number of days principal and/or interest payments are past due, if such payments are past due 30 days or more. Report as of the last day of the reporting period or disposition date. If payments are not past due 30 days or more, enter zero. For fronting exposures, report the longest number of days past due for the participant lender.","Numbers only. For fully undrawn commitments, enter 0."
33,Non-Accrual Date,NonAccrualDate,CLCOG078,"Report the date the credit facility was placed on non-accrual, if applicable. If a non-accrual date does not exist, enter 9999-12-31. For fronting exposures, report the date the fronting facility was placed on non-accrual.","Must be in yyyy-mm-dd format. For fully undrawn commitments, enter 9999-12-31."
34,Participation Flag,ParticipationFlag,CLCO6135,"Indicate if the credit facility is participated or syndicated among other financial institutions and if it is part of the Shared National Credit Program. For fronting exposures, report option 1 'No'.","1=No; 2=Yes syndicate/participant not SNC; 3=Yes agent not SNC; 4=Yes syndicate/participant in SNC; 5=Yes agent in SNC"
35,Lien Position,LienPosition,CLCOK450,"Indicate using integer code if the credit facility is First Lien Senior, Second Lien, Senior Unsecured, or Contractually Subordinated. If the facility contains loans with different lien positions, aggregate the committed balance by lien position and report the predominant. For fronting exposures, report the code applicable for the primary credit facility.","1=First-Lien Senior; 2=Second Lien; 3=Senior Unsecured; 4=Contractually Subordinated"
36,Security Type,SecurityType,CLCOM298,"If security is provided by collateral other than or in addition to Real Estate, indicate the predominant security type. If a credit facility has loans secured by different asset types, aggregate by type and report the predominant. Option 4 (Blanket Lien) should only be used for loans which legally give the lender a lien of equal seniority across all unencumbered assets. For fronting exposures, report the code applicable for the primary credit facility.","0=Real Estate only; 1=Cash and Marketable Securities; 2=Accounts Receivable and Inventory; 3=Fixed Assets excluding Real Estate; 4=Blanket Lien; 5=Other; 6=Unsecured"
37,Interest Rate Variability,InterestRateVariability,CLCOK461,"Indicate the variability of current interest rates (Fixed, Floating, or Mixed) to maturity. For fully undrawn commitments, report variability that would apply if funded and fully drawn; if allows either fixed or floating at borrower's discretion, report '3' (Mixed). For entirely fee based facilities, enter '4'. For fronting exposures, indicate variability based on the rate associated with the fronting facility.","0=DO NOT USE; 1=Fixed; 2=Floating; 3=Mixed; 4=Entirely fee based"
38,Interest Rate,InterestRate,CLCO7889,"Report the current interest rate charged on the credit facility. If multiple draws with different rates, enter the dollar weighted average rate. Report exclusive of interest rate swaps. For entirely fee based facilities, report 'NA'. For fully undrawn commitments, report the rate that would apply if funded and fully drawn; if allows multiple rates, report the most conservative (highest) as of most recent origination/renewal date. For fronting exposures, report the current rate associated with the fronting facility.","Provide as a decimal (e.g. 0.0575 for 5.75%). Enter 'NA' if entirely fee based."
39,Interest Rate Index,InterestRateIndex,CLCOK462,"For floating rate credit facilities, report the base interest rate using integer code. If obligor has an option, select the index actually in use. If fixed or entirely fee based, choose 'Not applicable'. If mixed, choose 'Mixed'. For fully undrawn commitments, report the index that would apply if funded. For fronting exposures, report based on the rate associated with the fronting facility.","0=DO NOT USE; 1=LIBOR; 2=PRIME or Base; 3=Treasury Index; 4=Other; 5=Not applicable (Fixed or entirely fee based); 6=Mixed; 7=SOFR"
40,Interest Rate Spread,InterestRateSpread,CLCOK463,"For floating rate credit facilities, report the spread over base rate in basis points. If fixed or entirely fee based, populate 'NA'. If multiple draws with different spreads, provide the spread approximating the overall spread. For fully undrawn commitments, report the spread that would apply if funded. For fronting exposures, report the spread based on the rate associated with the fronting facility.","Provide as a decimal (e.g. 0.0575 for 5.75%). Enter 'NA' if fixed or entirely fee based. Negative numbers allowed (use '-' not parenthesis)."
41,Interest Rate Ceiling,InterestRateCeiling,CLCOK464,"For floating rate credit facilities, report the rate ceiling if one is contained in the credit agreement. If no ceiling, populate 'NONE'. If fixed or entirely fee based, populate 'NA'. For facilities with multiple ceilings, provide the maximum. For fully undrawn commitments, report ceiling that would apply per credit agreement. For fronting exposures, report ceiling based on the rate associated with the fronting facility.","Provide as a decimal (e.g. 0.0575 for 5.75%). Enter 'NA' if fixed or entirely fee based. Enter 'NONE' if no ceiling."
42,Interest Rate Floor,InterestRateFloor,CLCOK465,"For floating rate credit facilities, report the rate floor if one is contained in the credit agreement. If no floor, populate 'NONE'. If fixed or entirely fee based, populate 'NA'. For facilities with multiple floors, provide the minimum. For fully undrawn commitments, report floor that would apply per credit agreement. For fronting exposures, report floor based on the rate associated with the fronting facility.","Provide as a decimal (e.g. 0.0575 for 5.75%). Enter 'NA' if fixed or entirely fee based. Enter 'NONE' if no floor."
43,Interest Income Tax Status,TaxStatus,CLCOM299,"Report the tax status of interest income for Federal or State Income Tax purposes. Interest Income Tax Status should be determined by whether the interest income received by the BHC or IHC or SLHC is tax exempt (at Federal, State, etc.).","1=Taxable; 2=Tax Exempt. If federal or state tax exempt, choose '2'."
44,Guarantor Flag,GuarantorFlag,CLCGM318,"Indicate if the credit facility is guaranteed. Report the option that reflects the guarantee of the guarantor identified in Field 45. Option 1: Full guarantee (explicit recourse for full repayment by single guarantor other than US Government Agency). Option 2: Partial guarantee (explicit recourse for partial repayment, includes partial US Government Agency guarantees). Option 3: Full U.S. Government Agency guarantee only. Option 4: No guarantee (no explicit recourse). For fronting exposures, report the code applicable for the primary facility.","1=Full guarantee; 2=Partial guarantee; 3=U.S. Government Agency Guarantee; 4=No guarantee"
45,Guarantor Internal ID,GuarantorInternalID,CLCGM300,"Report the unique guarantor identifier. For facilities with multiple guarantors, provide the identifier for the primary or most substantial guarantor.","Must not contain carriage return, line feed, comma or any unprintable character. If not guaranteed, enter 'NA'."
46,Guarantor Name,GuarantorName,CLCG9017,"Report the guarantor name on the credit facility. Full legal corporate name is desirable. If the guarantor is an individual(s) (Natural Person(s)), substitute with 'Individual.' For facilities with multiple guarantors, provide the name of the primary or most substantial guarantor.","Must not contain carriage return, line feed, comma or any unprintable character. If not guaranteed, enter 'NA'."
47,Guarantor TIN,GuarantorTIN,CLCG6191,"Report the TIN assigned to the guarantor by the U.S. IRS. If individual, enter 'NA'. If no TIN, enter 'NA'. For facilities with multiple guarantors, provide TIN for the primary or most substantial guarantor.","9 digit identification (##-####### or #########) or 'NA'. If not guaranteed, enter 'NA'."
48,Guarantor Internal Risk Rating,GuarantorInternalRiskRating,CLCGG080,"Report the guarantor rating grade from the reporting entity's internal risk rating system. This is the PD rating. If one-dimensional system, record that rating. For multiple guarantors, provide the rating for the primary or most substantial guarantor.","Free text indicating the obligor rating grade. If not guaranteed or guarantor has no rating, enter 'NA'."
49,Entity Internal ID,EntityInternalID,CLCEM300,"Report the reporting BHC's/IHC's/SLHC's unique internal identifier for the entity that is the primary source of repayment for the facility in Field 15.","Must not contain carriage return, line feed, comma or any unprintable character. Leave blank if the entity is the same as the Obligor identified in Field 2."
50,Entity Name,EntityName,CLCE9017,"Report the name of the entity that is the primary source of repayment for the facility in Field 15. Full legal corporate name is desirable. If individual(s), substitute with 'Individual.'","Must not contain carriage return, line feed, comma or any unprintable character. Leave blank if the entity is the same as the Obligor identified in Field 2."
51,Entity Internal Risk Rating,EntityInternalRiskRating,CLCEG080,"For the entity identified in Field 49, report the entity rating grade from the reporting BHC's/IHC's/SLHC's internal risk rating system. This is the PD rating. If one-dimensional system, record that rating.","Free text indicating the entity rating grade. Leave blank if the entity is the same as the Obligor identified in Field 2."
