Field No,Field Name,Technical Field Name,Description,Allowable Values
1,Internal Risk Rating,InternalRating,"Report each rating grade used in the reporting entity's internal risk rating system.","Free text indicating the internal risk rating grade. Collectively, Internal Risk Rating defines the set of allowable values for Field 10 on Schedule H.1 and the portion of Field 15 associated with the internal risk rating code on Schedule H.2."
2,Internal Risk Rating Description,InternalRatingDescription,Provide a brief description of the internal risk rating.,Free text describing the internal risk rating.
3,Minimum Probability of Default,MinimumPD,Provide the minimum probability of default associated with the Internal Risk Rating reported in Field 1.,"Express as a decimal to 7 decimal places, e.g., 50% is 0.5000000. Use decimal format; do not use scientific notation. Optionally report 'NA' if not reported on H.1 or H.2 during the reporting quarter."
4,Maximum Probability of Default,MaximumPD,Provide the maximum probability of default associated with the Internal Risk Rating reported in Field 1.,"Express as a decimal to 7 decimal places, e.g., 50% is 0.5000000. Use decimal format; do not use scientific notation. Optionally report 'NA' if not reported on H.1 or H.2 during the reporting quarter."
5,PD Calculation Method,,Indicate the calculation method used to determine the associated probabilities of default reported in Fields 3 and 4.,"1. Through the cycle; 2. Point in time; 3. Hybrid"
