Region,Country,Currency
Latin America & Caribbean,Bolivia,BOB
Latin America & Caribbean,Brazil,BRL
Latin America & Caribbean,Cayman Islands,KYD
Latin America & Caribbean,Chile,CLP
Latin America & Caribbean,Colombia,COP
Latin America & Caribbean,Costa Rica,CRC
Latin America & Caribbean,Cuba,CUP
Latin America & Caribbean,Dominica,XCD
Latin America & Caribbean,Dominican Republic,DOP
Latin America & Caribbean,Ecuador,ECS
Latin America & Caribbean,El Salvador,USD
Latin America & Caribbean,Grenada,XCD
Latin America & Caribbean,Guatemala,GTQ
Latin America & Caribbean,Guyana,GYD
Latin America & Caribbean,Haiti,HTG
Latin America & Caribbean,Honduras,HNL
Latin America & Caribbean,Jamaica,JMD
Latin America & Caribbean,Mexico,MXN
Latin America & Caribbean,Nicaragua,NIO
Latin America & Caribbean,Panama,PAB
Latin America & Caribbean,Paraguay,PYG
Latin America & Caribbean,Peru,PEN
Latin America & Caribbean,Saint Kitts and Nevis,XCD
Latin America & Caribbean,Saint Lucia,XCD
Latin America & Caribbean,Saint Vincent and the Grenadines,XCD
Latin America & Caribbean,Suriname,SRG
Latin America & Caribbean,Trinidad and Tobago,TTD
Latin America & Caribbean,Uruguay,UYU
Latin America & Caribbean,Venezuela,VEF
Asia Ex-Japan,Bangladesh,BDT
Asia Ex-Japan,Bhutan,BTN
Asia Ex-Japan,Brunei,BND
Asia Ex-Japan,Cambodia,KHR
Asia Ex-Japan,China,CNY
Asia Ex-Japan,Fiji,FJD
Asia Ex-Japan,Hong Kong,HKD
Asia Ex-Japan,India,INR
Asia Ex-Japan,Indonesia,IDR
Asia Ex-Japan,Kazakhstan,KZT
Asia Ex-Japan,Kyrgyzstan,KGS
Asia Ex-Japan,Laos,LAK
Asia Ex-Japan,Macau,MOP
Asia Ex-Japan,Malaysia,MYR
Asia Ex-Japan,Maldives,MVR
Asia Ex-Japan,Mongolia,MNT
Asia Ex-Japan,Myanmar,MMK
Asia Ex-Japan,Nepal,NPR
Asia Ex-Japan,North Korea,KPW
Asia Ex-Japan,Philippines,PHP
Asia Ex-Japan,Singapore,SGD
Asia Ex-Japan,Solomon Islands,SBD
Asia Ex-Japan,South Korea,KRW
Asia Ex-Japan,Sri Lanka,LKR
Asia Ex-Japan,Taiwan,TWD
Asia Ex-Japan,Tajikistan,TJR
Asia Ex-Japan,Thailand,THB
Asia Ex-Japan,Tonga,TOP
Asia Ex-Japan,Turkmenistan,TMM
Asia Ex-Japan,Uzbekistan,UZS
Asia Ex-Japan,Vanuatu,VUV
Asia Ex-Japan,Vietnam,VND
Middle East & North Africa,Afghanistan,AFA
Middle East & North Africa,Algeria,DZD
Middle East & North Africa,Armenia,AMD
Middle East & North Africa,Azerbaijan,AZM
Middle East & North Africa,Bahrain,BHD
Middle East & North Africa,Dubai,AED
Middle East & North Africa,Egypt,EGP
Middle East & North Africa,Georgia,GEL
Middle East & North Africa,Iran,IRR
Middle East & North Africa,Iraq,IQD
Middle East & North Africa,Israel,ILS
Middle East & North Africa,Jordan,JOD
Middle East & North Africa,Kuwait,KWD
