Risk Factor Schedules and Sub-Worksheets,Firm Category,Frequency,Data as-of-date,Submission due to Federal Reserve
"Securities; PPNR; Retail; Operational Risk; Supplemental; Retail FVO/HFS; Regulatory Capital; Regulatory Capital Instruments; Balances; Wholesale Risk",All firms,Quarterly,Quarter-end,"Seven days after the FR Y-9C reporting schedule: Reported data (47 calendar days after the calendar quarter-end for March, June, and September and 52 calendar days after the calendar quarter-end for December)."
"Trading; Counterparty",All firms,Quarterly,"Fourth Quarter: GMS as-of date for all exposures except Trading FVO Loan Hedges and Accrual Loan Hedges, which must be reported as of calendar quarter-end. All Other: Quarter-end","Fourth Quarter - Trading and Counterparty regular/unstressed submission: 52 calendar days after the notification date (notifying respondents of the as-of-date) or March 15, whichever comes earlier. Unless the Board requires the data to be provided over a different weekly period, BHCs, SLHCs, and IHCs may provide these data as-of the most recent date that corresponds to their weekly internal risk reporting cycle as long as it falls within the same calendar week as the as-of-date. Fourth quarter -- Counterparty stressed GMS submission: April 5th. All other: 47 calendar days after the calendar quarter-end (Seven days after the FR Y-9C reporting schedule). Upon resubmission of a firm's capital plan - Counterparty stressed GMS submission: as required"
