form_family,schedule,line_number,item_description,column_role,mdrm_code,forms,start_date,notes
y9c,HI-B,PI.1.a.(1),Part I: RE - 1-4 family residential construction loans (domestic offices),mdrm_col_a,BHCKC891,,2007-03-31,"Col A=Charge-offs, Col B=Recoveries"
y9c,HI-B,PI.1.a.(1),Part I: RE - 1-4 family residential construction loans (domestic offices),mdrm_col_b,BHCKC892,,2007-03-31,"Col A=Charge-offs, Col B=Recoveries"
y9c,HI-B,PI.1.a.(2),Part I: RE - Other construction loans and all land development and other land loans,mdrm_col_a,BHCKC893,,2007-03-31,-
y9c,HI-B,PI.1.a.(2),Part I: RE - Other construction loans and all land development and other land loans,mdrm_col_b,BHCKC894,,2007-03-31,-
y9c,HI-B,PI.1.b.,Part I: RE - Secured by farmland in domestic offices,mdrm_col_a,BHCK3584,,1990-09-30,-
y9c,HI-B,PI.1.b.,Part I: RE - Secured by farmland in domestic offices,mdrm_col_b,BHCK3585,,1990-09-30,-
y9c,HI-B,PI.1.c.(1),"Part I: RE - Revolving, open-end loans secured by 1-4 family residential properties (HELOCs)",mdrm_col_a,BHCK5411,,1991-03-31,-
y9c,HI-B,PI.1.c.(1),"Part I: RE - Revolving, open-end loans secured by 1-4 family residential properties (HELOCs)",mdrm_col_b,BHCK5412,,1991-03-31,-
y9c,HI-B,PI.1.c.(2)(a),"Part I: RE - Closed-end 1-4 family, secured by first liens",mdrm_col_b,BHCKC217,,2002-03-31,-
y9c,HI-B,PI.1.c.(2)(a),"Part I: RE - Closed-end 1-4 family, secured by first liens",mdrm_col_a,BHCKC234,,2002-03-31,-
y9c,HI-B,PI.1.c.(2)(b),"Part I: RE - Closed-end 1-4 family, secured by junior liens",mdrm_col_b,BHCKC218,,2002-03-31,-
y9c,HI-B,PI.1.c.(2)(b),"Part I: RE - Closed-end 1-4 family, secured by junior liens",mdrm_col_a,BHCKC235,,2002-03-31,-
y9c,HI-B,PI.1.d.,Part I: RE - Secured by multifamily (5 or more) residential properties (domestic offices),mdrm_col_a,BHCK3588,,1990-09-30,-
y9c,HI-B,PI.1.d.,Part I: RE - Secured by multifamily (5 or more) residential properties (domestic offices),mdrm_col_b,BHCK3589,,1990-09-30,-
y9c,HI-B,PI.1.e.(1),Part I: RE - Loans secured by owner-occupied nonfarm nonresidential properties,mdrm_col_a,BHCKC895,,2007-03-31,-
y9c,HI-B,PI.1.e.(1),Part I: RE - Loans secured by owner-occupied nonfarm nonresidential properties,mdrm_col_b,BHCKC896,,2007-03-31,-
y9c,HI-B,PI.1.e.(2),Part I: RE - Loans secured by other nonfarm nonresidential properties,mdrm_col_a,BHCKC897,,2007-03-31,-
y9c,HI-B,PI.1.e.(2),Part I: RE - Loans secured by other nonfarm nonresidential properties,mdrm_col_b,BHCKC898,,2007-03-31,-
y9c,HI-B,PI.1.f.,Part I: RE - Loans secured by real estate in foreign offices,mdrm_col_a,BHCKB512,,2001-03-31,-
y9c,HI-B,PI.1.f.,Part I: RE - Loans secured by real estate in foreign offices,mdrm_col_b,BHCKB513,,2001-03-31,-
y9c,HI-B,PI.3,Part I: Loans to finance agricultural production and other loans to farmers,mdrm_col_a,BHCK4655,,1986-06-30,Item 2 not applicable
y9c,HI-B,PI.3,Part I: Loans to finance agricultural production and other loans to farmers,mdrm_col_b,BHCK4665,,1986-06-30,Item 2 not applicable
