form_family,schedule,line_number,item_description,column_role,mdrm_code,forms,start_date,notes
y9c,HC-N,3.,Loans to finance agricultural production / to farmers,mdrm_nonaccrual,BHCK1583,,1976-03-31,
y9c,HC-N,3.,Loans to finance agricultural production / to farmers,mdrm_30_89,BHCK1594,,1976-03-31,
y9c,HC-N,3.,Loans to finance agricultural production / to farmers,mdrm_90_plus,BHCK1597,,1976-03-31,
y9c,HC-N,4.,Commercial and industrial loans,mdrm_30_89,BHCK1606,,1976-03-31,No US/non-US past-due split on HC-N; reported at aggregate item 4
y9c,HC-N,4.,Commercial and industrial loans,mdrm_90_plus,BHCK1607,,1976-03-31,No US/non-US past-due split on HC-N; reported at aggregate item 4
y9c,HC-N,4.,Commercial and industrial loans,mdrm_nonaccrual,BHCK1608,,1976-03-31,No US/non-US past-due split on HC-N; reported at aggregate item 4
y9c,HC-N,6.,Loans to foreign governments and official institutions,mdrm_30_89,BHCK5389,,1991-03-31,
y9c,HC-N,6.,Loans to foreign governments and official institutions,mdrm_90_plus,BHCK5390,,1991-03-31,
y9c,HC-N,6.,Loans to foreign governments and official institutions,mdrm_nonaccrual,BHCK5391,,1991-03-31,
y9c,HC-N,7.,All other loans,mdrm_30_89,BHCK5459,,1991-03-31,
y9c,HC-N,7.,All other loans,mdrm_90_plus,BHCK5460,,1991-03-31,
y9c,HC-N,7.,All other loans,mdrm_nonaccrual,BHCK5461,,1991-03-31,
y9c,HC-N,9.,Total loans and leases (sum of items 1-8.b),mdrm_nonaccrual,BHCK1403,,2018-03-31,Current total codes; prior BHCK5524/5525 discontinued 2017-12-31
y9c,HC-N,9.,Total loans and leases (sum of items 1-8.b),mdrm_30_89,BHCK1406,,2018-03-31,Current total codes; prior BHCK5524/5525 discontinued 2017-12-31
y9c,HC-N,9.,Total loans and leases (sum of items 1-8.b),mdrm_90_plus,BHCK1407,,2018-03-31,Current total codes; prior BHCK5524/5525 discontinued 2017-12-31
y9c,HC-N,10.,Debt securities and other assets (excl. OREO/repossessed),mdrm_30_89,BHCK3505,,2001-03-31,
y9c,HC-N,10.,Debt securities and other assets (excl. OREO/repossessed),mdrm_90_plus,BHCK3506,,2001-03-31,
y9c,HC-N,10.,Debt securities and other assets (excl. OREO/repossessed),mdrm_nonaccrual,BHCK3507,,2001-03-31,
y9c,HC-N,11.,Loans/leases wholly or partially U.S. Government-guaranteed,mdrm_30_89,BHCKK036,,2009-06-30,
y9c,HC-N,11.,Loans/leases wholly or partially U.S. Government-guaranteed,mdrm_90_plus,BHCKK037,,2009-06-30,
y9c,HC-N,11.,Loans/leases wholly or partially U.S. Government-guaranteed,mdrm_nonaccrual,BHCKK038,,2009-06-30,
y9c,HC-N,12.,Covered loans/leases protected by FDIC loss-sharing,mdrm_30_89,BHCKK102,,2009-06-30,
y9c,HC-N,12.,Covered loans/leases protected by FDIC loss-sharing,mdrm_90_plus,BHCKK103,,2009-06-30,
y9c,HC-N,12.,Covered loans/leases protected by FDIC loss-sharing,mdrm_nonaccrual,BHCKK104,,2009-06-30,
y9c,HC-N,1.a.(1),1-4 family residential construction,mdrm_30_89,BHCKF172,,2007-03-31,
