form_family,schedule,line_number,item_description,column_role,mdrm_code,forms,start_date,notes
y9c,HC-L,2,Financial standby letters of credit and foreign office guarantees,mdrm,BHCK6566,,1990-09-30,
y9c,HC-L,3,Performance standby letters of credit and foreign office guarantees,mdrm,BHCK6570,,1990-09-30,
y9c,HC-L,4,Commercial and similar letters of credit,mdrm,BHCK3411,,1990-09-30,
y9c,HC-L,8,Spot foreign exchange contracts,mdrm,BHCK8765,,1995-03-31,
y9c,HC-L,9,All other off-balance-sheet items (exclude derivatives),mdrm,BHCK3430,,1990-09-30,
y9c,HC-L,12,Total gross notional amount of derivative contracts held for trading - Equity Derivative,mdrm,BHCK8723,,1995-03-31,
y9c,HC-L,12,Total gross notional amount of derivative contracts held for trading - Commodity and Other,mdrm,BHCK8724,,1995-03-31,
y9c,HC-L,12,Total gross notional amount of derivative contracts held for trading - Interest Rate,mdrm,BHCKA126,,1995-03-31,
y9c,HC-L,12,Total gross notional amount of derivative contracts held for trading - Foreign Exchange,mdrm,BHCKA127,,1995-03-31,
y9c,HC-L,13,Total gross notional amount of derivative contracts held for purposes other than trading - Interest Rate,mdrm,BHCK8725,,1995-03-31,
y9c,HC-L,13,Total gross notional amount of derivative contracts held for purposes other than trading - Foreign Exchange,mdrm,BHCK8726,,1995-03-31,
y9c,HC-L,13,Total gross notional amount of derivative contracts held for purposes other than trading - Equity Derivative,mdrm,BHCK8727,,1995-03-31,
y9c,HC-L,13,Total gross notional amount of derivative contracts held for purposes other than trading - Commodity and Other,mdrm,BHCK8728,,1995-03-31,
y9c,HC-L,1.a,"Revolving, open-end loans secured by 1-4 family residential properties (e.g., home equity lines)",mdrm,BHCK3814,,1990-09-30,Unused commitments
y9c,HC-L,1.b.(1),Unused consumer credit card lines,mdrm,BHCKJ455,,2010-03-31,
y9c,HC-L,1.b.(2),Other unused credit card lines,mdrm,BHCKJ456,,2010-03-31,
y9c,HC-L,1.c.(1),"Commitments to fund CRE, construction, and land development loans secured by real estate",mdrm,BHCK3816,,1990-09-30,=sum 1.c.(1)(a)+(b)
y9c,HC-L,1.c.(1)(a),1-4 family residential construction loan commitments,mdrm,BHCKF164,,2007-03-31,
y9c,HC-L,1.c.(1)(b),"CRE, other construction, and land development loan commitments",mdrm,BHCKF165,,2007-03-31,
y9c,HC-L,1.c.(2),"Commitments to fund CRE, construction, and land development loans NOT secured by real estate",mdrm,BHCK6550,,1995-03-31,
y9c,HC-L,1.d,Securities underwriting,mdrm,BHCK3817,,1990-09-30,
y9c,HC-L,1.e.(1),Other unused commitments - Commercial and industrial loans,mdrm,BHCKJ457,,2010-03-31,
y9c,HC-L,1.e.(2),Other unused commitments - Loans to depository financial institutions,mdrm,BHCKPV10,,2026-03-31,Added 2026Q1
y9c,HC-L,1.e.(3),Other unused commitments - Loans to nondepository financial institutions,mdrm,BHCKPV11,,2026-03-31,Added 2026Q1; =sum (a)-(e)
y9c,HC-L,1.e.(3)(a),Loans to mortgage credit intermediaries,mdrm,BHCKPV12,,2026-03-31,Added 2026Q1
y9c,HC-L,1.e.(3)(b),Loans to business credit intermediaries,mdrm,BHCKPV13,,2026-03-31,Added 2026Q1
y9c,HC-L,1.e.(3)(c),Loans to private equity funds,mdrm,BHCKPV14,,2026-03-31,Added 2026Q1
y9c,HC-L,1.e.(3)(d),Loans to consumer credit intermediaries,mdrm,BHCKPV15,,2026-03-31,Added 2026Q1
y9c,HC-L,1.e.(3)(e),Other loans to nondepository financial institutions,mdrm,BHCKPV16,,2026-03-31,Added 2026Q1
y9c,HC-L,1.e.(4),All other unused commitments,mdrm,BHCKJ459,,2010-03-31,
y9c,HC-L,11.a,Futures contracts (notional) - Interest Rate,mdrm,BHCK8693,,1995-03-31,
y9c,HC-L,11.a,Futures contracts (notional) - Foreign Exchange,mdrm,BHCK8694,,1995-03-31,
y9c,HC-L,11.a,Futures contracts (notional) - Equity Derivative,mdrm,BHCK8695,,1995-03-31,
y9c,HC-L,11.a,Futures contracts (notional) - Commodity and Other,mdrm,BHCK8696,,1995-03-31,
y9c,HC-L,11.b,Forward contracts (notional) - Interest Rate,mdrm,BHCK8697,,1995-03-31,
y9c,HC-L,11.b,Forward contracts (notional) - Foreign Exchange,mdrm,BHCK8698,,1995-03-31,
y9c,HC-L,11.b,Forward contracts (notional) - Equity Derivative,mdrm,BHCK8699,,1995-03-31,
y9c,HC-L,11.b,Forward contracts (notional) - Commodity and Other,mdrm,BHCK8700,,1995-03-31,
y9c,HC-L,11.c.(1),Written options - exchange-traded (notional) - Interest Rate,mdrm,BHCK8701,,1995-03-31,
y9c,HC-L,11.c.(1),Written options - exchange-traded (notional) - Foreign Exchange,mdrm,BHCK8702,,1995-03-31,
y9c,HC-L,11.c.(1),Written options - exchange-traded (notional) - Equity Derivative,mdrm,BHCK8703,,1995-03-31,
y9c,HC-L,11.c.(1),Written options - exchange-traded (notional) - Commodity and Other,mdrm,BHCK8704,,1995-03-31,
y9c,HC-L,11.c.(2),Purchased options - exchange-traded (notional) - Interest Rate,mdrm,BHCK8705,,1995-03-31,
y9c,HC-L,11.c.(2),Purchased options - exchange-traded (notional) - Foreign Exchange,mdrm,BHCK8706,,1995-03-31,
y9c,HC-L,11.c.(2),Purchased options - exchange-traded (notional) - Equity Derivative,mdrm,BHCK8707,,1995-03-31,
y9c,HC-L,11.c.(2),Purchased options - exchange-traded (notional) - Commodity and Other,mdrm,BHCK8708,,1995-03-31,
y9c,HC-L,11.d.(1),Written options - OTC (notional) - Interest Rate,mdrm,BHCK8709,,1995-03-31,
y9c,HC-L,11.d.(1),Written options - OTC (notional) - Foreign Exchange,mdrm,BHCK8710,,1995-03-31,
y9c,HC-L,11.d.(1),Written options - OTC (notional) - Equity Derivative,mdrm,BHCK8711,,1995-03-31,
y9c,HC-L,11.d.(1),Written options - OTC (notional) - Commodity and Other,mdrm,BHCK8712,,1995-03-31,
y9c,HC-L,11.d.(2),Purchased options - OTC (notional) - Interest Rate,mdrm,BHCK8713,,1995-03-31,
y9c,HC-L,11.d.(2),Purchased options - OTC (notional) - Foreign Exchange,mdrm,BHCK8714,,1995-03-31,
y9c,HC-L,11.d.(2),Purchased options - OTC (notional) - Equity Derivative,mdrm,BHCK8715,,1995-03-31,
y9c,HC-L,11.d.(2),Purchased options - OTC (notional) - Commodity and Other,mdrm,BHCK8716,,1995-03-31,
y9c,HC-L,11.e,Swaps (notional) - Interest Rate,mdrm,BHCK3450,,1995-03-31,
y9c,HC-L,11.e,Swaps (notional) - Foreign Exchange,mdrm,BHCK3826,,1995-03-31,
y9c,HC-L,11.e,Swaps (notional) - Equity Derivative,mdrm,BHCK8719,,1995-03-31,
y9c,HC-L,11.e,Swaps (notional) - Commodity and Other,mdrm,BHCK8720,,1995-03-31,
y9c,HC-L,14.a.(1),Trading derivatives - Gross positive fair value - Interest Rate,mdrm,BHCK8733,,1995-03-31,
y9c,HC-L,14.a.(1),Trading derivatives - Gross positive fair value - Foreign Exchange,mdrm,BHCK8734,,1995-03-31,
y9c,HC-L,14.a.(1),Trading derivatives - Gross positive fair value - Equity Derivative,mdrm,BHCK8735,,1995-03-31,
y9c,HC-L,14.a.(1),Trading derivatives - Gross positive fair value - Commodity and Other,mdrm,BHCK8736,,1995-03-31,
y9c,HC-L,14.a.(2),Trading derivatives - Gross negative fair value - Interest Rate,mdrm,BHCK8737,,1995-03-31,
y9c,HC-L,14.a.(2),Trading derivatives - Gross negative fair value - Foreign Exchange,mdrm,BHCK8738,,1995-03-31,
y9c,HC-L,14.a.(2),Trading derivatives - Gross negative fair value - Equity Derivative,mdrm,BHCK8739,,1995-03-31,
y9c,HC-L,14.a.(2),Trading derivatives - Gross negative fair value - Commodity and Other,mdrm,BHCK8740,,1995-03-31,
y9c,HC-L,14.b.(1),Non-trading derivatives - Gross positive fair value - Interest Rate,mdrm,BHCK8741,,1995-03-31,
y9c,HC-L,14.b.(1),Non-trading derivatives - Gross positive fair value - Foreign Exchange,mdrm,BHCK8742,,1995-03-31,
y9c,HC-L,14.b.(1),Non-trading derivatives - Gross positive fair value - Equity Derivative,mdrm,BHCK8743,,1995-03-31,
y9c,HC-L,14.b.(1),Non-trading derivatives - Gross positive fair value - Commodity and Other,mdrm,BHCK8744,,1995-03-31,
y9c,HC-L,14.b.(2),Non-trading derivatives - Gross negative fair value - Interest Rate,mdrm,BHCK8745,,1995-03-31,
y9c,HC-L,14.b.(2),Non-trading derivatives - Gross negative fair value - Foreign Exchange,mdrm,BHCK8746,,1995-03-31,
y9c,HC-L,14.b.(2),Non-trading derivatives - Gross negative fair value - Equity Derivative,mdrm,BHCK8747,,1995-03-31,
y9c,HC-L,14.b.(2),Non-trading derivatives - Gross negative fair value - Commodity and Other,mdrm,BHCK8748,,1995-03-31,
y9c,HC-L,15.a,Net current credit exposure - Banks and securities firms,mdrm,BHCKG418,,2009-06-30,
y9c,HC-L,15.a,Net current credit exposure - Monoline financial guarantors,mdrm,BHCKG419,,2009-06-30,
y9c,HC-L,15.a,Net current credit exposure - Hedge funds,mdrm,BHCKG420,,2009-06-30,
y9c,HC-L,15.a,Net current credit exposure - Sovereign governments,mdrm,BHCKG421,,2009-06-30,
y9c,HC-L,15.a,Net current credit exposure - Corporations and all other counterparties,mdrm,BHCKG422,,2009-06-30,
y9c,HC-L,15.b.(1),Fair value of collateral - Cash (U.S. dollar) - Banks and securities firms,mdrm,BHCKG423,,2009-06-30,
y9c,HC-L,15.b.(1),Fair value of collateral - Cash (U.S. dollar) - Monoline financial guarantors,mdrm,BHCKG424,,2009-06-30,
y9c,HC-L,15.b.(1),Fair value of collateral - Cash (U.S. dollar) - Hedge funds,mdrm,BHCKG425,,2009-06-30,
y9c,HC-L,15.b.(1),Fair value of collateral - Cash (U.S. dollar) - Sovereign governments,mdrm,BHCKG426,,2009-06-30,
y9c,HC-L,15.b.(1),Fair value of collateral - Cash (U.S. dollar) - Corporations and all other counterparties,mdrm,BHCKG427,,2009-06-30,
y9c,HC-L,15.b.(2),Fair value of collateral - Cash (Other currencies) - Banks and securities firms,mdrm,BHCKG428,,2009-06-30,
y9c,HC-L,15.b.(2),Fair value of collateral - Cash (Other currencies) - Monoline financial guarantors,mdrm,BHCKG429,,2009-06-30,
y9c,HC-L,15.b.(2),Fair value of collateral - Cash (Other currencies) - Hedge funds,mdrm,BHCKG430,,2009-06-30,
y9c,HC-L,15.b.(2),Fair value of collateral - Cash (Other currencies) - Sovereign governments,mdrm,BHCKG431,,2009-06-30,
y9c,HC-L,15.b.(2),Fair value of collateral - Cash (Other currencies) - Corporations and all other counterparties,mdrm,BHCKG432,,2009-06-30,
y9c,HC-L,15.b.(3),Fair value of collateral - U.S. Treasury securities - Banks and securities firms,mdrm,BHCKG433,,2009-06-30,
y9c,HC-L,15.b.(3),Fair value of collateral - U.S. Treasury securities - Monoline financial guarantors,mdrm,BHCKG434,,2009-06-30,
y9c,HC-L,15.b.(3),Fair value of collateral - U.S. Treasury securities - Hedge funds,mdrm,BHCKG435,,2009-06-30,
y9c,HC-L,15.b.(3),Fair value of collateral - U.S. Treasury securities - Sovereign governments,mdrm,BHCKG436,,2009-06-30,
y9c,HC-L,15.b.(3),Fair value of collateral - U.S. Treasury securities - Corporations and all other counterparties,mdrm,BHCKG437,,2009-06-30,
y9c,HC-L,15.b.(4),Fair value of collateral - U.S. govt agency & GSE debt securities - Banks and securities firms,mdrm,BHCKG438,,2009-06-30,
y9c,HC-L,15.b.(4),Fair value of collateral - U.S. govt agency & GSE debt securities - Monoline financial guarantors,mdrm,BHCKG439,,2009-06-30,
y9c,HC-L,15.b.(4),Fair value of collateral - U.S. govt agency & GSE debt securities - Hedge funds,mdrm,BHCKG440,,2009-06-30,
y9c,HC-L,15.b.(4),Fair value of collateral - U.S. govt agency & GSE debt securities - Sovereign governments,mdrm,BHCKG441,,2009-06-30,
y9c,HC-L,15.b.(4),Fair value of collateral - U.S. govt agency & GSE debt securities - Corporations and all other counterparties,mdrm,BHCKG442,,2009-06-30,
y9c,HC-L,15.b.(5),Fair value of collateral - Corporate bonds - Banks and securities firms,mdrm,BHCKG443,,2009-06-30,
y9c,HC-L,15.b.(5),Fair value of collateral - Corporate bonds - Monoline financial guarantors,mdrm,BHCKG444,,2009-06-30,
y9c,HC-L,15.b.(5),Fair value of collateral - Corporate bonds - Hedge funds,mdrm,BHCKG445,,2009-06-30,
y9c,HC-L,15.b.(5),Fair value of collateral - Corporate bonds - Sovereign governments,mdrm,BHCKG446,,2009-06-30,
y9c,HC-L,15.b.(5),Fair value of collateral - Corporate bonds - Corporations and all other counterparties,mdrm,BHCKG447,,2009-06-30,
y9c,HC-L,15.b.(6),Fair value of collateral - Equity securities - Banks and securities firms,mdrm,BHCKG448,,2009-06-30,
y9c,HC-L,15.b.(6),Fair value of collateral - Equity securities - Monoline financial guarantors,mdrm,BHCKG449,,2009-06-30,
y9c,HC-L,15.b.(6),Fair value of collateral - Equity securities - Hedge funds,mdrm,BHCKG450,,2009-06-30,
y9c,HC-L,15.b.(6),Fair value of collateral - Equity securities - Sovereign governments,mdrm,BHCKG451,,2009-06-30,
y9c,HC-L,15.b.(6),Fair value of collateral - Equity securities - Corporations and all other counterparties,mdrm,BHCKG452,,2009-06-30,
y9c,HC-L,15.b.(7),Fair value of collateral - All other collateral - Banks and securities firms,mdrm,BHCKG453,,2009-06-30,
y9c,HC-L,15.b.(7),Fair value of collateral - All other collateral - Monoline financial guarantors,mdrm,BHCKG454,,2009-06-30,
y9c,HC-L,15.b.(7),Fair value of collateral - All other collateral - Hedge funds,mdrm,BHCKG455,,2009-06-30,
y9c,HC-L,15.b.(7),Fair value of collateral - All other collateral - Sovereign governments,mdrm,BHCKG456,,2009-06-30,
y9c,HC-L,15.b.(7),Fair value of collateral - All other collateral - Corporations and all other counterparties,mdrm,BHCKG457,,2009-06-30,
y9c,HC-L,15.b.(8),Total fair value of collateral (sum of 15.b.(1)-(7)) - Banks and securities firms,mdrm,BHCKG458,,2009-06-30,
y9c,HC-L,15.b.(8),Total fair value of collateral (sum of 15.b.(1)-(7)) - Monoline financial guarantors,mdrm,BHCKG459,,2009-06-30,
y9c,HC-L,15.b.(8),Total fair value of collateral (sum of 15.b.(1)-(7)) - Hedge funds,mdrm,BHCKG460,,2009-06-30,
y9c,HC-L,15.b.(8),Total fair value of collateral (sum of 15.b.(1)-(7)) - Sovereign governments,mdrm,BHCKG461,,2009-06-30,
y9c,HC-L,15.b.(8),Total fair value of collateral (sum of 15.b.(1)-(7)) - Corporations and all other counterparties,mdrm,BHCKG462,,2009-06-30,
y9c,HC-L,2.a,Amount of financial standby letters of credit conveyed to others,mdrm,BHCK3820,,1990-09-30,
y9c,HC-L,3.a,Amount of performance standby letters of credit conveyed to others,mdrm,BHCK3822,,1990-09-30,
y9c,HC-L,6.a,Securities lent,mdrm,BHCK3433,,1990-09-30,
y9c,HC-L,6.b,Securities borrowed,mdrm,BHCK3432,,1990-09-30,
y9c,HC-L,7.a.(1),Credit default swaps - Sold protection (notional),mdrm,BHCKC968,,2006-03-31,Guarantor
y9c,HC-L,7.a.(1),Credit default swaps - Purchased protection (notional),mdrm,BHCKC969,,2006-03-31,Beneficiary
y9c,HC-L,7.a.(2),Total return swaps - Sold protection (notional),mdrm,BHCKC970,,2006-03-31,Guarantor
y9c,HC-L,7.a.(2),Total return swaps - Purchased protection (notional),mdrm,BHCKC971,,2006-03-31,Beneficiary
y9c,HC-L,7.a.(3),Credit options - Sold protection (notional),mdrm,BHCKC972,,2006-03-31,Guarantor
y9c,HC-L,7.a.(3),Credit options - Purchased protection (notional),mdrm,BHCKC973,,2006-03-31,Beneficiary
y9c,HC-L,7.a.(4),Other credit derivatives - Sold protection (notional),mdrm,BHCKC974,,2006-03-31,Guarantor
y9c,HC-L,7.a.(4),Other credit derivatives - Purchased protection (notional),mdrm,BHCKC975,,2006-03-31,Beneficiary
y9c,HC-L,7.b.(1),Gross positive fair value - Sold protection,mdrm,BHCKC219,,2006-03-31,
y9c,HC-L,7.b.(1),Gross positive fair value - Purchased protection,mdrm,BHCKC221,,2006-03-31,
y9c,HC-L,7.b.(2),Gross negative fair value - Sold protection,mdrm,BHCKC220,,2006-03-31,
y9c,HC-L,7.b.(2),Gross negative fair value - Purchased protection,mdrm,BHCKC222,,2006-03-31,
y9c,HC-L,7.c.(1)(a),Notional - Sold protection,mdrm,BHCKG401,,2009-06-30,
y9c,HC-L,7.c.(1)(b),Notional - Purchased protection,mdrm,BHCKG402,,2009-06-30,
y9c,HC-L,7.c.(2)(a),Notional - Sold protection,mdrm,BHCKG403,,2009-06-30,
y9c,HC-L,7.c.(2)(b),Notional - Purchased protection recognized as guarantee for regulatory capital,mdrm,BHCKG404,,2009-06-30,
y9c,HC-L,7.c.(2)(c),Notional - Purchased protection NOT recognized as guarantee for regulatory capital,mdrm,BHCKG405,,2009-06-30,
y9c,HC-L,7.d.(1)(a),Investment grade - Remaining maturity <= 1 year,mdrm,BHCKG406,,2009-06-30,
y9c,HC-L,7.d.(1)(a),Investment grade - Remaining maturity >1 to 5 years,mdrm,BHCKG407,,2009-06-30,
y9c,HC-L,7.d.(1)(a),Investment grade - Remaining maturity > 5 years,mdrm,BHCKG408,,2009-06-30,
y9c,HC-L,7.d.(1)(b),Sub-investment grade - Remaining maturity <= 1 year,mdrm,BHCKG409,,2009-06-30,
y9c,HC-L,7.d.(1)(b),Sub-investment grade - Remaining maturity >1 to 5 years,mdrm,BHCKG410,,2009-06-30,
y9c,HC-L,7.d.(1)(b),Sub-investment grade - Remaining maturity > 5 years,mdrm,BHCKG411,,2009-06-30,
y9c,HC-L,7.d.(2)(a),Investment grade - Remaining maturity <= 1 year,mdrm,BHCKG412,,2009-06-30,
y9c,HC-L,7.d.(2)(a),Investment grade - Remaining maturity >1 to 5 years,mdrm,BHCKG413,,2009-06-30,
y9c,HC-L,7.d.(2)(a),Investment grade - Remaining maturity > 5 years,mdrm,BHCKG414,,2009-06-30,
y9c,HC-L,7.d.(2)(b),Sub-investment grade - Remaining maturity <= 1 year,mdrm,BHCKG415,,2009-06-30,
y9c,HC-L,7.d.(2)(b),Sub-investment grade - Remaining maturity >1 to 5 years,mdrm,BHCKG416,,2009-06-30,
y9c,HC-L,7.d.(2)(b),Sub-investment grade - Remaining maturity > 5 years,mdrm,BHCKG417,,2009-06-30,
y9c,HC-L,9.a,Commitments to purchase when-issued securities,mdrm,BHCK3434,,1990-09-30,
y9c,HC-L,9.b,Commitments to sell when-issued securities,mdrm,BHCK3435,,1990-09-30,
y9c,HC-L,9.c,Itemized other off-balance-sheet - Amount,mdrm,BHCK6561,,1990-09-30,Description in TEXT6561
y9c,HC-L,9.d,Itemized other off-balance-sheet - Amount,mdrm,BHCK6562,,1990-09-30,Description in TEXT6562
y9c,HC-L,9.e,Itemized other off-balance-sheet - Amount,mdrm,BHCK6568,,1990-09-30,Description in TEXT6568
y9c,HC-L,9.f,Itemized other off-balance-sheet - Amount,mdrm,BHCK6586,,1990-09-30,Description in TEXT6586
