form_family,schedule,line_number,item_description,column_role,mdrm_code,forms,start_date,notes
call,RC-C,1,Loans secured by real estate,mdrm_consolidated,RCFD1410,031/041/051,1985-12-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,1,Loans secured by real estate,mdrm_domestic,RCON1410,031/041/051,1985-12-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,2,Loans to depository institutions and acceptances of other banks,mdrm_domestic,RCON1288,041/051,2017-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,3,Loans to finance agricultural production and other loans to farmers,mdrm_consolidated,RCFD1590,031/041/051,1984-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,3,Loans to finance agricultural production and other loans to farmers,mdrm_domestic,RCON1590,031/041/051,1984-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,4,Commercial and industrial loans,mdrm_domestic,RCON1766,041/051,2017-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,7,Loans to foreign governments and official institutions (incl foreign central banks),mdrm_consolidated,RCFD2081,031,1985-12-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,8,Obligations (other than securities and leases) of states and political subdivisions in the U.S.,mdrm_consolidated,RCFD2107,031/041/051,1994-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,8,Obligations (other than securities and leases) of states and political subdivisions in the U.S.,mdrm_domestic,RCON2107,031/041/051,1994-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,10,Lease financing receivables (net of unearned income),mdrm_consolidated,RCFD2165,031/041/051,1984-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,10,Lease financing receivables (net of unearned income),mdrm_domestic,RCON2165,031/041/051,1984-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,11,LESS: Any unearned income on loans reflected in items 1-9 above,mdrm_consolidated,RCFD2123,031/041/051,1985-12-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,11,LESS: Any unearned income on loans reflected in items 1-9 above,mdrm_domestic,RCON2123,031/041/051,1985-12-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
