Schedule A - Advanced Approaches Regulatory Capital Continued (Page A-2),,,
Dollar Amounts in Thousands,MDRM,Amount,Item
Additional tier 1 capital,,,
Additional tier 1 capital instruments plus related surplus,P860,15153000,30
"of which: classified as equity under GAAP (not applicable)",,, 31
"of which: classified as liabilities under GAAP (not applicable)",,,32
Non-qualifying capital instruments subject to phase out from additional tier 1 capital,P861,0,33
Tier 1 minority interest not included in common equity tier 1 capital,P862,0,34
"of which: amount subject to phase out",P893,0,35
"Additional tier 1 capital before deductions (sum of items 30, 33, and 34)",P863,15153000,36
Additional tier 1 capital deductions,,,
Investments in own additional tier 1 capital instruments,P894,0,37
Reciprocal cross-holdings in additional tier 1 capital of financial institutions,P895,0,38
"Non-significant investments in AT1 capital of unconsolidated FIs exceeding 10% threshold",P896,0,39
Significant investments in FIs not in form of common stock to be deducted from AT1 capital,P897,0,40
Other deductions from additional tier 1 capital,P898,407000,41
Deductions applied to AT1 capital due to insufficient tier 2 capital,P899,0,42
Total additional tier 1 capital deductions (sum of items 37 through 42),P864,407000,43
Additional tier 1 capital (greater of item 36 less item 43 or zero),P865,14746000,44
Tier 1 capital,,,
Tier 1 capital (sum of items 29 and 44),8274,118515000,45
Tier 2 capital,,,
Tier 2 capital instruments plus related surplus,P866,8908000,46
Non-qualifying capital instruments subject to phase out from tier 2 capital,P867,0,47
Total capital minority interest not included in tier 1 capital,P868,0,48
"of which: instruments subject to phase out",P900,0,49
Eligible credit reserves includable in tier 2 capital,5310,1263000,50
"Tier 2 capital before deductions (sum of items 46, 47, 48, and 50)",P870,10171000,51
Tier 2 capital deductions,,,
Investments in own tier 2 capital instruments,P902,4000,52
Reciprocal cross-holdings in tier 2 capital of unconsolidated FIs,P903,0,53
"Non-significant investments in T2 capital and covered debt instruments exceeding 10% threshold",P904,0,54
Significant investments in FIs not in form of common stock to be deducted from T2,P905,0,55
"Other deductions from tier 2 capital: Investments in excluded covered debt instruments",LB40,0,56.a
"Other deductions from tier 2 capital: All other deductions",P906,3000,56.b
Total tier 2 capital deductions (sum of items 52 through 56),P872,7000,57
Tier 2 capital (greater of item 51 less item 57 or zero),5311,10164000,58
Total capital,,,
Total capital (sum of items 45 and 58),3792,128679000,59
Total risk-weighted assets,,,
Total risk-weighted assets (RWAs),A223,687426000,60
