Schedule L - Retail Exposure: Residential Mortgage Closed-End Junior Lien Exposures - MDRM Grid,,,,,,,,,,,,,,,,
PD Range,Col A: Wtd-Avg PD,Col B: Num Exposures,Col C: Total Bal Sheet,Col D: Total Undrawn,Col E: EAD,Col F: Wtd-Avg Age (Months),Col G: Wtd-Avg LGD,Col H: RWA,Col I: Expected Credit Loss,Col J: LTV <70%,Col K: LTV 70-80%,Col L: LTV 80-90%,Col M: LTV 90-100%,Col N: LTV >=100%,Col O: Wtd-Avg Bureau Score,Col P: EAD Updated LTV
1. 0.00 to < 0.05,AALA J002,AALB J002,AALC J002,AALD J002,AALE J002,AALF J002,AALG J002,AALH J002,AALI J002,AALJ J002,AALK J002,AALL J002,AALM J002,AALN J002,AALO J002,AALP J002
2. 0.05 to < 0.10,AALA J004,AALB J004,AALC J004,AALD J004,AALE J004,AALF J004,AALG J004,AALH J004,AALI J004,AALJ J004,AALK J004,AALL J004,AALM J004,AALN J004,AALO J004,AALP J004
3. 0.10 to < 0.15,AALA J006,AALB J006,AALC J006,AALD J006,AALE J006,AALF J006,AALG J006,AALH J006,AALI J006,AALJ J006,AALK J006,AALL J006,AALM J006,AALN J006,AALO J006,AALP J006
4. 0.15 to < 0.20,AALA J007,AALB J007,AALC J007,AALD J007,AALE J007,AALF J007,AALG J007,AALH J007,AALI J007,AALJ J007,AALK J007,AALL J007,AALM J007,AALN J007,AALO J007,AALP J007
5. 0.20 to < 0.25,AALA J009,AALB J009,AALC J009,AALD J009,AALE J009,AALF J009,AALG J009,AALH J009,AALI J009,AALJ J009,AALK J009,AALL J009,AALM J009,AALN J009,AALO J009,AALP J009
6. 0.25 to < 0.35,AALA J010,AALB J010,AALC J010,AALD J010,AALE J010,AALF J010,AALG J010,AALH J010,AALI J010,AALJ J010,AALK J010,AALL J010,AALM J010,AALN J010,AALO J010,AALP J010
7. 0.35 to < 0.50,AALA J013,AALB J013,AALC J013,AALD J013,AALE J013,AALF J013,AALG J013,AALH J013,AALI J013,AALJ J013,AALK J013,AALL J013,AALM J013,AALN J013,AALO J013,AALP J013
8. 0.50 to < 0.75,AALA J014,AALB J014,AALC J014,AALD J014,AALE J014,AALF J014,AALG J014,AALH J014,AALI J014,AALJ J014,AALK J014,AALL J014,AALM J014,AALN J014,AALO J014,AALP J014
9. 0.75 to < 1.35,AALA J016,AALB J016,AALC J016,AALD J016,AALE J016,AALF J016,AALG J016,AALH J016,AALI J016,AALJ J016,AALK J016,AALL J016,AALM J016,AALN J016,AALO J016,AALP J016
10. 1.35 to < 2.50,AALA J019,AALB J019,AALC J019,AALD J019,AALE J019,AALF J019,AALG J019,AALH J019,AALI J019,AALJ J019,AALK J019,AALL J019,AALM J019,AALN J019,AALO J019,AALP J019
11. 2.50 to < 5.50,AALA J025,AALB J025,AALC J025,AALD J025,AALE J025,AALF J025,AALG J025,AALH J025,AALI J025,AALJ J025,AALK J025,AALL J025,AALM J025,AALN J025,AALO J025,AALP J025
12. 5.50 to < 10.00,AALA J029,AALB J029,AALC J029,AALD J029,AALE J029,AALF J029,AALG J029,AALH J029,AALI J029,AALJ J029,AALK J029,AALL J029,AALM J029,AALN J029,AALO J029,AALP J029
13. 10.00 to < 20.00,AALA J031,AALB J031,AALC J031,AALD J031,AALE J031,AALF J031,AALG J031,AALH J031,AALI J031,AALJ J031,AALK J031,AALL J031,AALM J031,AALN J031,AALO J031,AALP J031
14. 20.00 to < 100,AALA J033,AALB J033,AALC J033,AALD J033,AALE J033,AALF J033,AALG J033,AALH J033,AALI J033,AALJ J033,AALK J033,AALL J033,AALM J033,AALN J033,AALO J033,AALP J033
15. 100.00 Default,AALA J034,AALB J034,AALC J034,AALD J034,AALE J034,AALF J034,AALG J034,AALH J034,AALI J034,AALJ J034,AALK J034,AALL J034,AALM J034,AALN J034,AALO J034,AALP J034
16. Total (calculated),AALA J035,AALB J035,AALC J035,AALD J035,AALE J035,AALF J035,AALG J035,AALH J035,AALI J035,AALJ J035,AALK J035,AALL J035,AALM J035,AALN J035,AALO J035,AALP J035
Memoranda,,,,,,,,,,,,,,,,
M.1 Non-material portfolios RWA,,,,,,,,AALX J036,,,,,,,,
M.2 Credit scoring system(s),,,,,,,,,,,,,,,,AALX J041
