Past Due and Nonaccrual Assets (Dollar Amount in Thousands),09/30/2025,09/30/2024,12/31/2024,12/31/2023,12/31/2022
30+ Days Past Due and Nonaccrual Assets,,,,,,
30-89 days past due loans and leases,1307000,1225000,967000,589000,885000
90+ days past due loans and leases,491000,491000,493000,487000,307000
Nonaccrual loans and leases,4919000,6051000,5170000,5634000,5409000
Total past due and nonaccrual loans and leases,6717000,7767000,6630000,6710000,6601000
Restructured 30-89 days past due,45000,43000,43000,32000,5000
Restructured 90+ days past due,41000,40000,40000,28000,7000
Restructured nonaccrual,626000,1083000,741000,735000,232000
Total restructured loans and leases,712000,1166000,824000,795000,244000
30-89 days past due loans held for sale,757000,742000,353000,58000,468000
90+ days past due loans held for sale,0,43000,32000,0,10000
Nonaccrual loans held for sale,1299000,1313000,1089000,1034000,1611000
Total past due and nonaccrual loans held for sale,2056000,2098000,1474000,1092000,2089000
Restructured loans and leases in compliance,212000,157000,381000,51000,32000
Other real estate owned,50000,56000,71000,143000,130000
Other Assets,,,,,,
30-89 days past due,0,0,0,0,0
90+ days past due,0,0,0,0,0
Nonaccrual,0,0,4000,4000,2000
Total other assets past due and nonaccrual,0,0,4000,4000,2000
Percent of Loans and Leases (BHC values),,,,,,
30-89 days past due loans and leases,0.42,0.46,0.35,0.23,0.37
90+ days past due loans and leases,0.16,0.19,0.18,0.19,0.13
Nonaccrual loans and leases,1.57,2.29,1.89,2.20,2.28
90+ days past due and nonaccrual loans and leases,1.73,2.47,2.07,2.39,2.41
30-89 days past due restructured,0.01,0.02,0.02,0.01,0
90+ days past due restructured,0.01,0.02,0.01,0.01,0
Nonaccrual restructured,0.20,0.41,0.27,0.29,0.10
30-89 days past due loans held for sale,0.24,0.28,0.13,0.02,0.20
90+ days past due loans held for sale,0,0,0.01,0,0
Nonaccrual loans held for sale,0.42,0.50,0.40,0.40,0.68
Percent of Loans and Leases and Other Assets,,,,,,
30-89 days past due assets,0.42,0.46,0.35,0.23,0.37
90+ days past due assets,0.16,0.19,0.18,0.19,0.13
Nonaccrual assets,1.57,2.29,1.89,2.20,2.28
30+ days past due and nonaccrual assets,2.15,2.94,2.42,2.62,2.79
Percent of Total Assets,,,,,,
90+ days past due and nonaccrual assets,0.30,0.38,0.34,0.37,0.40
90+ days past due and nonaccrual assets + other real estate owned,0.30,0.38,0.34,0.38,0.41
Restructured and Nonaccrual Loans and Leases + OREO as Percent of:,,,,,,
Total assets,0.29,0.37,0.34,0.36,0.39
Allowance for credit losses on loans and leases,116.84,133.56,122.27,116.59,100.72
Equity capital + allowance for credit losses on loans and leases,4.09,5.04,4.50,4.83,4.55
Tier 1 capital + allowance for credit losses on loans and leases,4.28,5.29,4.74,5.10,4.89
Loans and leases + other real estate owned,1.68,2.40,2.08,2.30,2.36
