Derivatives and Off-Balance-Sheet Transactions (Dollar Amount in Thousands),09/30/2025,09/30/2024,12/31/2024,12/31/2023,12/31/2022
Loan commitments (reported semiannually June/Dec),,,378174000,350092000,333981000
Commit: Secured commercial real estate loans,5871000,2458000,3464000,2340000,3067000
Commit: Unsecured real estate loans,234000,416000,467000,660000,684000
Credit card lines (reported semiannually June/Dec),,,78099000,70824000,62216000
Securities underwriting,0,0,0,218000,0
Standby letters of credit,16146000,13592000,15220000,12376000,13034000
Commercial and similar letters of credit,0,0,0,0,0
Securities lent,161457000,46481000,67111000,35278000,25569000
Credit derivatives - notional amount (HC as guarantor),937664000,724895000,606211000,524067000,528678000
Credit derivatives - notional amount (HC as beneficiary),1021016000,789604000,675314000,595976000,580352000
Credit derivative contracts w/ purchased credit protection-investment grade,1532824000,1175473000,980949000,871008000,829624000
Credit derivative contracts w/ purchased credit protection-noninvest grade,544381000,453400000,423870000,342346000,392916000
Derivative Contracts,,,,,,
Interest rate futures and forward contracts,4205320000,3803828000,3219372000,4108042000,2276200000
Written options contracts (interest rate),4392546000,5120456000,4224028000,5695227000,5547857000
Purchased options contracts (interest rate),4392647000,5419160000,4470935000,5586258000,5909301000
Interest rate swaps,19053466000,17044223000,13812288000,17111030000,15014714000
Futures and forward foreign exchange,3835037000,3017977000,2740209000,3068660000,2348210000
Written options contracts (foreign exchange),645818000,545266000,575198000,414257000,369144000
Purchased options contracts (foreign exchange),689736000,562683000,612162000,428721000,383327000
Foreign exchange rate swaps,2845047000,2600887000,2345796000,2513199000,2214441000
Commodity and other futures and forward contracts,556172000,594992000,499709000,467868000,402797000
Written options contracts (commodity and other),1502642000,1279904000,1144921000,990215000,818508000
Purchased options contracts (commodity and other),1493580000,1296768000,1124039000,1008172000,796092000
Commodity and other swaps,1040448000,889820000,872128000,816786000,722378000
