Servicing Securitization and Asset Sale Activities Part 1 (Dollar Amount in Thousands),09/30/2025,09/30/2024,12/31/2024,12/31/2023,12/31/2022,Percent Change 1-Year,Percent Change 5-Year
Activity,,,,,,,,
Securitization activities,8969000,8516000,9283000,12916000,8782000,5.32,-2.86
1-4 family residential loans,4192000,4880000,4641000,4375000,3697000,-14.10,-40.67
Home equity lines,0,0,0,0,0,,
Credit card receivables,0,0,0,0,0,,
Auto loans,0,0,0,0,0,,
Commercial and industrial loans,0,0,0,0,0,,
All other loans and leases,4777000,3636000,4642000,8541000,5085000,31.38,120.44
Retained credit exposure,90000,111000,106000,118000,190000,-18.92,-63.27
1-4 family residential loans,78000,92000,87000,78000,124000,-15.22,-58.29
Home equity lines,0,0,0,0,0,,
Credit card receivables,0,0,0,0,0,,
Auto loans,0,0,0,0,0,,
Commercial and industrial loans,0,0,0,0,0,,
All other loans and leases,12000,19000,19000,40000,66000,-36.84,-79.31
Unused commitments to provide liquidity (servicer advance),0,34000,0,35000,64000,-100.00,-100.00
Seller's interest carried as securities and loans,0,0,0,0,0,,
Home equity lines,0,0,0,0,0,,
Credit card receivables,0,0,0,0,0,,
Commercial and industrial loans,0,0,0,0,0,,
Asset-backed commercial paper conduits,0,0,0,0,0,,
Credit exposure from credit enhancements provided to conduit structures,0,0,0,0,0,,
Liquidity commitments provided to conduit structures,0,0,0,0,0,,
