Insurance and Broker-Dealer Activities (Dollar Amount in Thousands),09/30/2025,09/30/2024,12/31/2024,12/31/2023,12/31/2022,Percent Change 1-Year,Percent Change 5-Year
Insurance Activities,,,,,,,,
Total insurance underwriting assets,300000,348000,353000,335000,236000,-13.79,-23.86
Total property and casualty assets,105000,103000,102000,93000,82000,1.94,43.84
Reinsurance recoverables (P/C),,,,,,,,
Total life and health assets,195000,245000,251000,242000,154000,-20.41,-39.25
Reinsurance recoverables (L/H),0,0,0,0,0,,
Separate account assets (L/H),,,,,,,
Total insurance underwriting equity,328000,274000,278000,260000,242000,19.71,8.97
Total property and casualty equity,144000,134000,136000,126000,116000,7.46,35.85
Total life and health equity,184000,140000,142000,134000,126000,31.43,-5.64
Total insurance underwriting net income,15000,14000,17000,18000,12000,7.14,200.00
Total property and casualty,8000,8000,9000,10000,5000,0.00,60.00
Total life and health,7000,6000,8000,8000,7000,16.67,
Claims and claims adjusted expense reserves (P/C),5000,4000,4000,3000,3000,25.00,
Unearned premiums (P/C),0,0,0,0,0,,
Policyholder benefit and contractholder funds (L/H),82000,79000,76000,79000,86000,3.80,-75.15
Separate account liabilities (L/H),0,0,0,0,0,,
Insurance activities revenue,0,1000,1000,1000,3000,-100.00,
Other insurance activities income,0,0,0,0,0,,
Insurance and reinsurance underwriting income,0,1000,1000,1000,3000,-100.00,
Premiums,-1000,-1000,-1000,-1000,-1000,,
Credit related insurance underwriting,0,0,0,0,0,,
Other insurance underwriting,-1000,-1000,-1000,-1000,-1000,,
"Insurance benefits, losses, expenses",1000,0,1000,-1000,-4000,,-99.37
Net assets of insurance underwriting subsidiaries,300000,348000,353000,335000,236000,-13.79,-23.66
Life insurance assets,21000,25000,24000,31000,30000,-16.00,-47.50
Broker-Dealer Activities,,,,,,,,
Net assets of broker-dealer subsidiaries ($000),1038727000,1045017000,973168000,969929000,780907000,,
Net assets of broker-dealer subsidiaries / Consolidated assets,57.45,60.47,58.07,59.08,54.16,,
