Non-Interest Income and Expenses (Dollar Amount in Thousands),09/30/2025,09/30/2024,12/31/2024,12/31/2023,12/31/2022
Total non-interest income,35061000,34006000,45547000,39918000,39715000
Fiduciary activities income,110000,100000,141000,135000,123000
Service charges on deposit accounts - domestic,0,0,0,0,0
Trading revenue,15350000,16310000,21326000,19166000,17973000
Investment banking fees and commissions,18916000,16389000,22427000,19345000,20081000
Insurance activities revenue,0,1000,1000,1000,3000
Venture capital revenue,0,0,0,0,0
Net servicing fees,3000,39000,42000,123000,91000
Net securitization income,207000,200000,274000,190000,150000
Net gains (losses) on sales of loans OREO other assets,26000,-153000,-191000,-505000,285000
Other non-interest income,449000,1120000,1527000,1463000,1009000
Total overhead expenses,27822000,25506000,33767000,34487000,31164000
Personnel expense,14241000,12947000,16706000,15499000,15148000
Net occupancy expense,906000,938000,1243000,1312000,1279000
Goodwill impairment losses,3000,14000,14000,504000,0
Amortization expenses and impairment loss (other intangible assets),63000,154000,176000,679000,171000
Other operating expenses,12609000,11453000,15628000,16493000,14566000
Fee income on mutual funds and annuities,1601000,1449000,1973000,1785000,1702000
Memoranda,,,,,,
Assets under management in proprietary mutual funds and annuities,1033213000,940400000,983764000,879420000,830217000
Number of equivalent employees,48300,46400,46500,45300,48500
Average personnel expense per employee,294.84,279.03,359.27,342.14,312.33
Average assets per employee,36590.01,36007.48,36089.31,34330.45,31869.90
