Schedules and Sub-Schedules,Data As-of-Date,Submission Date to Federal Reserve
"Summary, Macro Scenario","Data as-of December 31st","Data are due April 5th of the following year. Adjusted summary schedule submission: The Federal Reserve will notify companies at least 14 calendar days in advance of the date on which it expects companies to submit any adjusted capital actions. Upon resubmission of a firm's capital plan: As required"
"Operational Risk, and Business Plan Changes, and Collection of Supplemental CECL Information schedules","Data as-of December 31st","Data are due April 5th of the following year. Upon resubmission of a firm's capital plan: As required"
"CCAR Market Shock exercise Summary schedule (Trading Risk, Counterparty)","Data as-of a specified date in the first quarter. As-of-date would be communicated by Federal Reserve.","Data are due April 5th. Upon resubmission of a firm's capital plan: As required"
"Regulatory Capital Instruments","Data as-of December 31st","Original submission: Data are due April 5th of the following year. Adjusted submission: The Federal Reserve will notify companies at least 14 calendar days in advance of the date on which it expects companies to submit any adjusted capital actions. Incremental submission: At the time the firm seeks approval for additional capital distributions pursuant to 12 CFR 225.8(j) or within 15 days after making any capital distribution approved pursuant to that section or a capital distribution in excess of the firm's final planned capital distributions. Upon resubmission of a firm's capital plan: As required"
