Reporting Firm,Filing Requirements
"BHCs and IHCs subject to Category I-III standards","All schedules (see filing criteria below for the CCR and Trading sub-schedules of Schedule A -- Summary)"
"BHC and IHCs subject to Category IV standards","Schedule C - Regulatory Capital Instruments; Schedule E - Operational Risk; and Collection of Supplemental CECL Information"
"SLHCs subject to Category I-III standards","Schedule A - Summary (see filing criteria below for the CCR and Trading sub-schedules); Schedule B - Scenario; Schedule C - Regulatory Capital Instruments; Schedule E - Operational Risk; and Schedule F - Business Plan Changes"
"SLHCs subject to Category IV standards","Schedule C - Regulatory Capital Instruments; and Schedule E - Operational Risk"
