Submission Type,Column,(1) Internal Baseline,(2) Internal Stress,(3) Supervisory Severely Adverse,(4) Supervisory Baseline,(5) Supervisory Severely Adverse
Category,,Summary - CCAR and Capital - CCAR,Summary - CCAR and Capital - CCAR,Summary - CCAR and Capital - CCAR,Summary - DFAST and Capital - DFAST,Summary - DFAST and Capital - DFAST
Scenario,,Internal Baseline,Internal Stress,Supervisory Severely Adverse,Supervisory Baseline,Supervisory Severely Adverse
Business Plan Changes Assumption,,Includes effects,Includes effects that firm anticipates given scenario,Includes effects that firm anticipates given scenario,Excludes effects,Excludes effects
Capital Actions,,Planned capital actions,Alternative capital actions,Alternative capital actions,DFAST capital actions,DFAST capital actions
