Item,Description,RIAD_or_RCON,Code,Frequency
14,Personal trust and agency accounts income,RIAD,B904,Quarterly or Semiannual
15.a,Employee benefit — defined contribution income,RIAD,B905,Quarterly or Semiannual
15.b,Employee benefit — defined benefit income,RIAD,B906,Quarterly or Semiannual
15.c,Other employee benefit and retirement-related accounts income,RIAD,B907,Quarterly or Semiannual
16,Corporate trust and agency accounts income,RIAD,A479,Quarterly or Semiannual
17,Investment management and advisory agency accounts income,RIAD,J315,Quarterly or Semiannual
18,Foundation and endowment trust and agency accounts income,RIAD,J316,Quarterly or Semiannual
19,Other fiduciary accounts income,RIAD,A480,Quarterly or Semiannual
20,Custody and safekeeping accounts income,RIAD,B909,Quarterly or Semiannual
21,Other fiduciary and related services income,RIAD,B910,Quarterly or Semiannual
22,Total gross fiduciary and related services income (sum of 14-21),RIAD,4070,Quarterly or Semiannual
23,Less: Expenses,RIAD,C058,Annual (December)
24,Less: Net losses from fiduciary and related services,RIAD,A488,Annual (December)
25,Plus: Intracompany income credits,RIAD,B911,Annual (December)
26,Net fiduciary and related services income,RIAD,A491,Annual (December)
