schedule,item,description,mdrm_code,data_type,reporting_frequency,notes
RC-B Memo,M.1.,"Pledged securities",RCON 0416,Amount,Quarterly,"Includes HTM at amortized cost; AFS at fair value; equity securities at fair value"
RC-B Memo,M.2.a.(1),"Non-MBS and non-1-4 family MBS pass-through: 3 months or less",RCON A549,Amount,Quarterly,
RC-B Memo,M.2.a.(2),"Non-MBS and non-1-4 family MBS pass-through: Over 3 months through 12 months",RCON A550,Amount,Quarterly,
RC-B Memo,M.2.a.(3),"Non-MBS and non-1-4 family MBS pass-through: Over 1 year through 3 years",RCON A551,Amount,Quarterly,
RC-B Memo,M.2.a.(4),"Non-MBS and non-1-4 family MBS pass-through: Over 3 years through 5 years",RCON A552,Amount,Quarterly,
RC-B Memo,M.2.a.(5),"Non-MBS and non-1-4 family MBS pass-through: Over 5 years through 15 years",RCON A553,Amount,Quarterly,
RC-B Memo,M.2.a.(6),"Non-MBS and non-1-4 family MBS pass-through: Over 15 years",RCON A554,Amount,Quarterly,
RC-B Memo,M.2.b.(1),"1-4 family MBS pass-through: 3 months or less",RCON A555,Amount,Quarterly,
RC-B Memo,M.2.b.(2),"1-4 family MBS pass-through: Over 3 months through 12 months",RCON A556,Amount,Quarterly,
RC-B Memo,M.2.b.(3),"1-4 family MBS pass-through: Over 1 year through 3 years",RCON A557,Amount,Quarterly,
RC-B Memo,M.2.b.(4),"1-4 family MBS pass-through: Over 3 years through 5 years",RCON A558,Amount,Quarterly,
RC-B Memo,M.2.b.(5),"1-4 family MBS pass-through: Over 5 years through 15 years",RCON A559,Amount,Quarterly,
RC-B Memo,M.2.b.(6),"1-4 family MBS pass-through: Over 15 years",RCON A560,Amount,Quarterly,
RC-B Memo,M.2.c.(1),"Other MBS (CMOs REMICs stripped MBS): Expected avg life 3 years or less",RCON A561,Amount,Quarterly,
RC-B Memo,M.2.c.(2),"Other MBS (CMOs REMICs stripped MBS): Expected avg life over 3 years",RCON A562,Amount,Quarterly,
RC-B Memo,M.2.d.,"Debt securities with remaining maturity of 1 year or less",RCON A248,Amount,Quarterly,
RC-B Memo,M.3.,"HTM securities sold or transferred to AFS or trading (amortized cost at date of sale/transfer)",RCON 1778,Amount,Semiannual (Jun/Dec),
RC-B Memo,M.4.a.,"Structured notes: Amortized cost",RCON 8782,Amount,Quarterly,
RC-B Memo,M.4.b.,"Structured notes: Fair value",RCON 8783,Amount,Quarterly,
RC-B Memo,M.7.,"Guaranteed by U.S. Govt agencies/sponsored agencies in RC-B item 5.b (4 columns)","PU98/PU99/PV00/PV01",Amount,Quarterly,
