schedule,item,description,charge_off_riad,recovery_riad,data_type,reporting_frequency
RI-B Part I,1.a.(1),"1-4 family residential construction loans",C891,C892,Amount,Quarterly
RI-B Part I,1.a.(2),"Other construction loans and all land development and other land loans",C893,C894,Amount,Quarterly
RI-B Part I,1.b.,"Secured by farmland",3584,3585,Amount,Quarterly
RI-B Part I,1.c.(1),"Revolving open-end loans secured by 1-4 family residential properties",5411,5412,Amount,Quarterly
RI-B Part I,1.c.(2)(a),"Closed-end loans secured by first liens on 1-4 family residential properties",C234,C217,Amount,Quarterly
RI-B Part I,1.c.(2)(b),"Closed-end loans secured by junior liens on 1-4 family residential properties",C235,C218,Amount,Quarterly
RI-B Part I,1.d.,"Secured by multifamily (5 or more) residential properties",3588,3589,Amount,Quarterly
RI-B Part I,1.e.(1),"Loans secured by owner-occupied nonfarm nonresidential properties",C895,C896,Amount,Quarterly
RI-B Part I,1.e.(2),"Loans secured by other nonfarm nonresidential properties",C897,C898,Amount,Quarterly
RI-B Part I,4.,"Commercial and industrial loans",4638,4608,Amount,Quarterly
RI-B Part I,5.a.,"Credit cards",B514,B515,Amount,Quarterly
RI-B Part I,5.b.,"Automobile loans",K129,K133,Amount,Quarterly
RI-B Part I,5.c.,"Other consumer loans (revolving credit plans other than credit cards)",K205,K206,Amount,Quarterly
RI-B Part I,7.,"All other loans",4644,4628,Amount,Quarterly
RI-B Part I,8.,"Lease financing receivables",4266,4267,Amount,Quarterly
RI-B Part I,9.,"Total (sum of items 1 through 8)",4635,4605,Amount,Quarterly
RI-B Part I,M.1.,"Loans to finance commercial real estate construction and land development (not secured by RE)",5409,5410,Amount,Quarterly
RI-B Part I,M.3.,"Loans to finance agricultural production and other loans to farmers",4655,4665,Amount,Conditional
