Section,Item,Description,RCON_or_RIAD,Code,Response_Type
Derivatives,1,Does the institution have any derivative contracts?,RCON,FT00,Yes/No
Derivatives,1.a,Total gross notional — interest rate derivatives held for trading,RCON,A126,Amount
Derivatives,1.b,Total gross notional — all other derivatives held for trading,RCON,FT01,Amount
Derivatives,1.c,Total gross notional — interest rate derivatives not held for trading,RCON,8725,Amount
Derivatives,1.d,Total gross notional — all other derivatives not held for trading,RCON,FT02,Amount
Mortgage Banking,2,Did institution meet mortgage banking activity thresholds?,RCON,FT03,Yes/No
Mortgage Banking,2.a,Principal amount of 1-4 family mortgage loans sold during quarter,RCON,FT04,Amount
Mortgage Banking,2.b,Quarter-end 1-4 family mortgage loans held for sale or trading,RCON,FT05,Amount
Fair Value Option,3,Does institution use fair value option?,RCON,FT06,Yes/No
Fair Value Option,3.a,Aggregate fair value option assets,RCON,HK18,Amount
Fair Value Option,3.b,Aggregate fair value option liabilities,RCON,HK19,Amount
Fair Value Option,3.c,YTD net gains (losses) on fair value option assets,RIAD,F551,Amount
Fair Value Option,3.d,YTD net gains (losses) on fair value option liabilities,RIAD,F553,Amount
Securitization/Sales,4,Has institution sold/securitized assets with servicing retained or recourse?,RCON,FT07,Yes/No
Securitization/Sales,4.a,Total outstanding principal balance of sold/securitized assets,RCON,FT08,Amount
Securitization/Sales,5,Has institution sold assets with recourse but not securitized?,RCON,FT09,Yes/No
Securitization/Sales,5.a,Total outstanding principal balance of sold (not securitized) assets,RCON,FT10,Amount
Servicing,6,Does institution service closed-end 1-4 family mortgages or > $10M other assets?,RCON,FT11,Yes/No
Servicing,6.a,Total outstanding principal balance of loans/assets serviced for others,RCON,FT12,Amount
Variable Interest Entities,7,Does institution have consolidated variable interest entities?,RCON,FT13,Yes/No
Variable Interest Entities,7.a,Total assets of consolidated VIEs (net of allowances),RCON,FT14,Amount
Variable Interest Entities,7.b,Total liabilities of consolidated VIEs,RCON,FT15,Amount
Credit Card Lending,8,Does institution (with affiliates) have > $500M credit card receivables or is credit card specialty bank?,RCON,FT16,Yes/No
Credit Card Lending,8.a,Outstanding credit card fees and finance charges (retail),RCON,C391,Amount
Credit Card Lending,8.b,Separate valuation allowance for uncollectible retail credit card fees,RIAD,C389,Amount
Credit Card Lending,8.c,Allowance for credit losses attributable to retail credit card fees,RCON,C390,Amount
Credit Card Lending,8.d,Uncollectible retail credit card fees reversed against YTD income,RIAD,C388,Amount
