Item,Description,CCF,Col_A_Face_Notional_RCON,Col_B_Credit_Equiv_RCON,Col_C_0pct_RCON,Col_D_2pct_RCON,Col_E_4pct_RCON,Col_F_10pct_RCON,Col_G_20pct_RCON,Col_H_50pct_RCON,Col_I_100pct_RCON,Col_J_150pct_RCON,Col_R_Exposure_RCON,Col_S_RWA_RCON
12,Financial standby letters of credit,1.0,D991,D992,D993,HJ92,HJ93,,D994,D995,D996,S511,,
13,Performance standby letters of credit and transaction-related contingent items,0.5,D997,D998,D999,,,,,G603,G604,G605,S512,
14,Commercial and similar letters of credit (original maturity one year or less),0.2,G606,G607,G608,HJ94,HJ95,,G609,G610,G611,S513,,
15,Retained recourse on small business obligations sold with recourse,1.0,G612,G613,G614,,,,,G615,G616,G617,S514,
16,Repo-style transactions,1.0,S515,S516,S517,S518,S519,,S520,S521,S522,S523,H301,H302
17,All other off-balance sheet liabilities,1.0,G618,G619,G620,,,,,G621,G622,G623,S524,
18.a,Unused commitments — original maturity one year or less,0.2,S525,S526,S527,HJ96,HJ97,,S528,S529,S530,S531,H303,H304
18.b,Unused commitments — original maturity exceeding one year,0.5,G624,G625,G626,HJ98,HJ99,,G627,G628,G629,S539,H307,H308
19,Unconditionally cancelable commitments,0.0,S540,S541,,,,,,,,,,
20,Over-the-counter derivatives,,,,S542,S543,HK00,HK01,S544,S545,S546,S547,S548,H309,H310
21,Centrally cleared derivatives,,,,S549,S550,S551,S552,,S554,S555,S556,S557,,
22,Unsettled transactions (failed trades),,H191,,,H193,,,,H194,H195,H196,H197,,
