schedule,item,description,rcon_code,data_type,reporting_frequency
RC-C Part I,1.a.(1),"1-4 family residential construction loans",F158,Amount,Quarterly
RC-C Part I,1.a.(2),"Other construction loans and all land development and other land loans",F159,Amount,Quarterly
RC-C Part I,1.b.,"Secured by farmland (including farm residential and other improvements)",1420,Amount,Quarterly
RC-C Part I,1.c.(1),"Revolving open-end loans secured by 1-4 family residential properties",1797,Amount,Quarterly
RC-C Part I,1.c.(2)(a),"Closed-end loans secured by first liens on 1-4 family residential properties",5367,Amount,Quarterly
RC-C Part I,1.c.(2)(b),"Closed-end loans secured by junior liens on 1-4 family residential properties",5368,Amount,Quarterly
RC-C Part I,1.d.,"Secured by multifamily (5 or more) residential properties",1460,Amount,Quarterly
RC-C Part I,1.e.(1),"Loans secured by owner-occupied nonfarm nonresidential properties",F160,Amount,Quarterly
RC-C Part I,1.e.(2),"Loans secured by other nonfarm nonresidential properties",F161,Amount,Quarterly
RC-C Part I,2.,"Loans to depository institutions and acceptances of other banks",1288,Amount,Quarterly
RC-C Part I,3.,"Loans to finance agricultural production and other loans to farmers",1590,Amount,Quarterly
RC-C Part I,4.,"Commercial and industrial loans",1766,Amount,Quarterly
RC-C Part I,6.a.,"Credit cards",B538,Amount,Quarterly
RC-C Part I,6.b.,"Other revolving credit plans",B539,Amount,Quarterly
RC-C Part I,6.c.,"Automobile loans",K137,Amount,Quarterly
RC-C Part I,6.d.,"Other consumer loans (single payment and installment; all student loans)",K207,Amount,Quarterly
RC-C Part I,8.,"Obligations of states and political subdivisions in the U.S.",2107,Amount,Quarterly
RC-C Part I,9.a.,"Loans to nondepository financial institutions",J454,Amount,Quarterly
RC-C Part I,9.b.,"Other loans",J464,Amount,Quarterly
RC-C Part I,10.,"Lease financing receivables (net of unearned income)",2165,Amount,Quarterly
RC-C Part I,11.,"LESS: Any unearned income on loans reflected in items 1-9",2123,Amount,Quarterly
RC-C Part I,12.,"Total loans and leases held for investment and held for sale (must equal RC sum of 4.a and 4.b)",2122,Amount,Quarterly
