Exposure type,Traditional - Amounts Sold by the Firm ($ millions),Traditional - Amounts Sold by Third Parties in Transactions Sponsored by the Firm ($ millions),Synthetic ($ millions)
Commercial mortgages,0,0,0
Residential mortgages,177,0,0
Corporate debt,0,0,7733
Asset-backed and other,0,0,0
Total,177,0,7733
