Basel III Pillar 3 Requirement,Description,Form 10-Q Page,Pillar 3 Report Page
Scope of Application,Business,,1
Scope of Application,Regulatory capital framework,22,1
Capital Structure,Capital instruments,"51, 52, 63, 69",2
Capital Structure,Restrictions and other major impediments to transfer of funds or capital,,2
Capital Structure,Capital structure,22,2
Capital Adequacy,Required capital framework,23,2
Capital Adequacy,Credit risk market risk and operational risk RWA,30,3
Capital Adequacy,Risk management objectives structure and policies,,4
Capital Adequacy,Minimum risk-based capital ratio,24,4
Capital Adequacy,Total Loss-Absorbing Capacity,25,5
Credit Risk,Credit risk and credit risk management framework,30,5
Credit Risk,Risk governance structure,,5
Credit Risk,Master netting agreements and collateral agreements,"51, 56",6
Credit Risk,Commitments,63,6
Credit Risk,Guarantees,63,6
Credit Risk,Reconciliation of changes in allowance for loan losses,61,8
Credit Risk,Credit quality indicator,58,8
Credit Risk,Determination of past due or delinquency status,,8
General Disclosure for Wholesale Counterparty Credit Risk,Use of collateral as a credit risk mitigants and master netting agreements,"51, 56",11
General Disclosure for Wholesale Counterparty Credit Risk,Valuation approaches,,12
General Disclosure for Wholesale Counterparty Credit Risk,Credit derivatives,51,12
General Disclosure for Wholesale Counterparty Credit Risk,Additional collateral requirements due to credit rating downgrade,53,12
Credit Risk Mitigation,Impact of netting on the Firm's credit exposures,35,13
Equities Not Subject to Market Risk Capital Rule,Valuation techniques related to investments,,14
Equities Not Subject to Market Risk Capital Rule,Deductions under the Volcker Rule,,15
Securitization,Securitization transactions,67,15
Securitization,Accounting and valuation techniques related to securitization,67,16
Interest Rate Risk for Non-Trading Activities,Interest rate risk sensitivity analysis on non-trading activities,30,19
Market Risk,Market risk RWA,25,19
Market Risk,Management VaR model related statistics and limit monitoring process,29,20
Market Risk,Daily net trading revenues,29,22
Market Risk,Primary market risk exposures and market risk management,28,22
Market Risk,Valuation policies procedures and methodologies for covered positions,,22
Market Risk,Stress testing and Regulatory Stressed VaR,25,23
Operational Risk,Operational Risk,36,23
Supplementary Leverage Ratio,Supplementary Leverage Ratio,24,24
