Category,IMM EAD ($ millions),IMM RWA ($ millions),CHA EAD ($ millions),CHA RWA ($ millions),Total EAD ($ millions),Total RWA ($ millions)
Derivative and other contracts,123899,56134,0,0,123899,56134
Repo-style transactions and eligible margin loans,52757,12217,3202,3921,55959,16138
Total,176656,68351,3202,3921,179858,72272
