Exposure type,On-balance sheet ($ millions),Off-balance sheet ($ millions),Total ($ millions)
Commercial mortgages,21132,1649,22781
Residential mortgages,1237,19,1256
Corporate debt,25305,18247,43552
Asset-backed and other,3692,5975,9667
Total,51366,25890,77256
