Subcategory,PD Band (%),Average PD (%),Average LGD %,Undrawn Commitment ($ millions),EAD ($ millions),Average Counterparty EAD ($ millions),Average risk weight (%)
Wholesale Exposures,0.00 <= PD < 0.35,0.07%,43.92%,125214,471654,26666,20.83%
Wholesale Exposures,0.35 <= PD < 1.35,0.77%,44.32%,26855,58230,747,90.86%
Wholesale Exposures,1.35 <= PD < 10.00,4.55%,40.50%,21738,30258,112,146.36%
Wholesale Exposures,10.00 <= PD < 100.00,28.11%,45.23%,1128,3678,70,263.31%
Wholesale Exposures,100 (Default),100.00%,N/A,151,2901,114,106.00%
Wholesale Exposures,Sub-total,,,,566721,27709,
Residential Mortgages,0.00 <= PD < 0.15,0.12%,15.82%,0,73413,2,4.59%
Residential Mortgages,0.15 <= PD < 0.35,0.34%,81.63%,284,437,2,51.23%
Residential Mortgages,0.35 <= PD < 1.35,0.43%,24.82%,129,714,1,20.17%
Residential Mortgages,1.35 <= PD < 10.00,5.70%,29.17%,2,265,1,98.68%
Residential Mortgages,10.00 <= PD < 100.00,38.82%,31.76%,1,111,1,164.10%
Residential Mortgages,100 (Default),100.00%,N/A,0,133,2,106.00%
Residential Mortgages,Sub-total,,,416,75073,9,
Other Retail Exposures,0.00 <= PD < 1.50,0.50%,27.25%,0,659,35,26.05%
Other Retail Exposures,1.50 <= PD < 3.00,2.01%,63.80%,0,99,28,131.82%
Other Retail Exposures,3.00 <= PD < 5.00,0%,0%,0,0,0,0%
Other Retail Exposures,5.00 <= PD < 8.00,6.21%,53.87%,0,4621,2,86.37%
Other Retail Exposures,8.00 <= PD < 100.00,8.24%,100.00%,0,546,276,225.71%
Other Retail Exposures,100 (Default),100.00%,N/A,0,159,2,106.00%
Other Retail Exposures,Sub-total,,,0,6084,343,
Total,,,,175502,647878,28061,
