Category,Amount ($ millions)
Re-securitization exposure to which credit risk mitigation is applied,0
Re-securitization exposure to which credit risk mitigation is not applied,1690
Total re-securitization exposures retained or purchased,1690
Total re-securitization exposure to guarantors,0
Total re-securitization exposure not to guarantors,1690
Total re-securitization exposures retained or purchased,1690
