Exposure type,Amounts Sold by the Firm ($ millions),Recognized Gain/(Loss) on Sale ($ millions),Amounts Sold by Third Parties in Transactions Sponsored by the Firm ($ millions)
Commercial mortgages,8453,108,16726
Residential mortgages,4527,81,0
Corporate debt,281,0,0
Asset-backed and other,1999,14,0
Total,15260,203,16726
