Category,Item,Amount ($ millions)
Derivative and Other Contracts,Gross positive fair value,350000
Derivative and Other Contracts,Counterparty netting benefit,-273930
Derivative and Other Contracts,Net current credit exposure,76070
Derivative and Other Contracts,Securities collateral,-15044
Derivative and Other Contracts,Cash collateral,-38629
Derivative and Other Contracts,Net exposure (after netting and collateral),22397
Securities Financing Transactions,Repo-Style Transactions: Gross notional exposure,680531
Securities Financing Transactions,Repo-Style Transactions: Net exposure (after netting and collateral),6096
Securities Financing Transactions,Eligible Margin Loans: Gross notional exposure,145689
