Product Type,Less than 1 Year ($ millions),1-5 Years ($ millions),Over 5 Years ($ millions),Netting ($ millions),Total ($ millions)
Cash,103734,0,0,0,103734
Derivative and other contracts,125799,105997,118204,-312559,37441
Investment securities,29574,64280,69678,0,163532
Securities financing transactions,680008,523,0,-439684,240847
Loans,183271,77973,86173,0,347417
Other,41201,8136,19476,0,68813
Total on-balance sheet,1163587,256909,293531,-752243,961784
Commitments,194532,149906,17252,0,361690
Guarantees,6518,2280,2544,0,11342
Total off-balance sheet,201050,152186,19796,0,373032
