Credit derivative type,Hedge Portfolio Purchased ($ millions),Hedge Portfolio Sold ($ millions),Intermediation Activities Purchased ($ millions),Intermediation Activities Sold ($ millions)
Credit default swaps,40448,11445,361819,361563
Total return swaps,829,896,24605,12751
Credit options,0,0,150076,161034
Total,41277,12341,536500,535348
