Entity,Metric,Standardized Approach,Advanced Approach
Morgan Stanley,CET1 capital ($ millions),81303,81303
Morgan Stanley,Tier 1 capital ($ millions),91036,91036
Morgan Stanley,Total capital ($ millions),101733,100929
Morgan Stanley,Total RWA ($ millions),539296,518012
Morgan Stanley,CET1 capital ratio,15.1%,15.7%
Morgan Stanley,Tier 1 capital ratio,16.9%,17.6%
Morgan Stanley,Total capital ratio,18.9%,19.5%
Morgan Stanley,Adjusted average assets ($ millions),1340745,N/A
Morgan Stanley,Tier 1 leverage ratio,6.8%,N/A
Morgan Stanley,Supplementary leverage exposure ($ millions),N/A,1659985
Morgan Stanley,SLR,N/A,5.5%
Morgan Stanley Bank N.A.,CET1 capital ratio,19.8%,24.1%
Morgan Stanley Bank N.A.,Tier 1 capital ratio,19.8%,24.1%
Morgan Stanley Bank N.A.,Total capital ratio,20.5%,24.5%
Morgan Stanley Bank N.A.,Tier 1 leverage ratio,10.5%,N/A
Morgan Stanley Bank N.A.,SLR,N/A,7.8%
Morgan Stanley Private Bank N.A.,CET1 capital ratio,26.8%,51.4%
Morgan Stanley Private Bank N.A.,Tier 1 capital ratio,26.8%,51.4%
Morgan Stanley Private Bank N.A.,Total capital ratio,27.4%,51.9%
Morgan Stanley Private Bank N.A.,Tier 1 leverage ratio,7.6%,N/A
Morgan Stanley Private Bank N.A.,SLR,N/A,7.4%
