Securitization (excl re-securitization) - June 30 2025 (in millions),SFA Exposure,SFA RWA,SSFA Exposure,SSFA RWA,1250% Exposure,1250% RWA,Total Exposure,Total RWA
Risk weight = 0% < 20%,123255,25080,146458,30403,0,0,269713,55483
> 20% < 50%,9968,3111,4936,1584,0,0,14904,4695
> 50% < 100%,1065,640,1006,865,0,0,2071,1505
> 100% < 1250%,236,720,1223,2516,0,0,1459,3236
= 1250%,28,346,40,531,25,331,93,1208
Securitization excluding re-securitization,134552,29897,153663,35899,25,331,288240,66127
