JPMorgan Chase Bank N.A. Capital Metrics - June 30 2025 (in millions except ratios),Basel III Advanced
Risk-based capital metrics:,
CET1 capital,282306
Tier 1 capital,282311
Total capital,289365
Risk-weighted assets,1694749
CET1 capital ratio,16.7%
Tier 1 capital ratio,16.7%
Total capital ratio,17.1%
Leverage-based capital metrics:,
Adjusted average assets (b),3649013
Tier 1 leverage ratio,7.7%
Total leverage exposure,4418464
SLR,6.4%
