Repo-style Transactions Components - June 30 2025 (in millions),Amount
Gross assets for repo-style transactions (a),981683
Less: amounts netted (b),315381
Add: Counterparty credit risk for all repo-style transactions,50623
Exposure amount for repo-style transactions where the Firm acts as an agent (c),376
Total exposures for repo-style exposures,717301
Less: Securities purchased under resale agreements,434014
Less: Securities borrowed,234024
Adjustment for repo-style transactions,49263
