Derivative Transactions Components - June 30 2025 (in millions),Amount
Replacement cost for all derivative transactions,115739
Add-on amounts for potential future exposure (PFE) for all derivative transactions,228725
Gross-up for collateral posted in derivative transactions if collateral is deducted from on-balance sheet assets,140442
Less: Deduction of receivable assets for qualifying cash variation margin posted in derivative transactions,140442
Less: Exempted exposures to central counterparties (CCPs) in cleared transactions,24357
Adjusted effective notional principal amount of sold credit protection,718635
Less: Effective notional principal amount offsets and PFE deductions for sold credit protection,661586
Total derivative exposure (a),377156
Less: On-balance-sheet average derivative receivables,76654
Adjustment for derivative transactions,300502
