Other Retail Exposures - June 30 2025 (in millions except ratios),Balance sheet amount,Off balance sheet commitments,EAD,RWA,Exposure-weighted avg PD,Exposure-weighted avg LGD,Exposure-weighted avg Risk weight
0.00 to < 0.50,36294,14795,41867,6886,0.20,41.25,16.45
0.50 to < 2.00,28837,4736,29841,12085,1.12,37.11,40.50
2.00 to < 3.50,3980,1171,4238,3258,2.49,53.88,76.84
3.50 to < 5.00,2106,591,2198,1449,3.82,43.29,65.89
5.00 to < 8.00,1198,115,1214,809,6.51,41.31,66.57
8.00 to < 100,2663,9,2677,2763,25.34,50.80,103.19
100 (default),474,0,474,502,100.00,N/A,106.00
Total,75552,21417,82509,27752,2.23%,40.53%,33.63%
