Residential Mortgage Exposures - June 30 2025 (in millions except ratios),Balance sheet amount,Off balance sheet commitments,EAD,RWA,Exposure-weighted avg PD,Exposure-weighted avg LGD,Exposure-weighted avg Risk weight
0.00 to < 0.10,143687,19742,153736,7389,0.05,31.89,4.81
0.10 to < 0.20,32843,2454,34859,3799,0.15,32.78,10.90
0.20 to < 0.75,44008,1218,45048,9896,0.36,33.59,21.96
0.75 to < 5.50,11825,305,12052,8143,1.71,37.02,67.56
5.50 to < 10.00,642,0,639,927,7.22,34.98,145.15
10.00 to < 100,1540,3,1534,2630,40.52,33.55,171.40
100 (default),3045,62,3111,3272,100.00,N/A,105.18
Total,237590,23784,250979,36056,1.70%,32.19%,14.37%
