Qualifying Revolving Exposures - June 30 2025 (in millions except ratios),Balance sheet amount,Off balance sheet commitments,EAD,RWA,Exposure-weighted avg PD,Exposure-weighted avg LGD,Exposure-weighted avg Risk weight
0.00 to < 0.50,96208,932593,373768,19659,0.09,91.48,5.26
0.50 to < 2.00,49494,73612,64559,25212,1.05,94.05,39.05
2.00 to < 3.50,22988,12956,24990,19476,2.63,94.25,77.93
3.50 to < 5.00,17901,3208,18184,18121,3.73,94.13,99.65
5.00 to < 8.00,13223,2470,13352,19957,6.94,94.47,149.45
8.00 to < 100,29804,1649,29806,56867,23.31,93.22,190.79
100 (default),0,0,0,0,0.00,N/A,0
Total,229618,1026488,524659,159292,1.95%,92.19%,30.36%
