Capital ratio requirements and well-capitalized ratios - June 30 2025,Capital ratio requirements BHC (a),Capital ratio requirements IDI (b),Well-capitalized ratios BHC (c),Well-capitalized ratios IDI (d)
CET1 capital,11.5%,7.0%,NA (e),6.5%
Tier 1 capital,13.0%,8.5%,6.0%,8.0%
Total capital,15.0%,10.5%,10.0%,10.0%
Tier 1 leverage,4.0%,4.0%,NA (e),5.0%
SLR (f),5.0%,6.0%,NA (e),6.0%
