Other Off-Balance Sheet Exposures - June 30 2025 (in millions),Amount
Off-balance sheet exposures - gross notional amounts,1722121
Less: Adjustments for conversion to credit equivalent amounts,1292746
Adjustment for other off-balance sheet exposures,429375
