SLR Components - June 30 2025 (in millions except ratios),Amount
Tier 1 capital,303189
Total spot assets,4552482
Add: Adjustments for frequency of calculations (a),-114864
Total average assets,4437618
Less: Adjustments for deductions from Tier 1 capital (b),55398
Add: Adjustment for derivative transactions,300502
Add: Adjustment for repo-style transactions,49263
Add: Off-balance sheet exposures (c),429375
Add: Other,0
Total leverage exposure,5161360
SLR,5.9%
