TLAC - June 30 2025 (in billions except ratios),External TLAC,LTD
Total eligible amount,559.9,244.9
% of RWA,29.7%,13.0%
Regulatory requirements,23.0%,10.5%
Surplus/(shortfall) ($B),126.9,47.2
% of total leverage exposure,10.8%,4.7%
Regulatory requirements,9.5%,4.5%
Surplus/(shortfall) ($B),69.6,12.6
